volt, time
0.073, 1468261268.037780
0.075, 1468261268.047882
0.061, 1468261268.064117
0.068, 1468261268.080657
0.073, 1468261268.097229
0.070, 1468261268.114135
0.068, 1468261268.130706
0.063, 1468261268.147277
0.070, 1468261268.164154
0.070, 1468261268.180572
0.075, 1468261268.197326
0.075, 1468261268.213958
0.063, 1468261268.230590
0.065, 1468261268.247344
0.070, 1468261268.263946
0.065, 1468261268.280792
0.068, 1468261268.297241
0.068, 1468261268.313873
0.058, 1468261268.330688
0.065, 1468261268.347259
0.068, 1468261268.364135
0.065, 1468261268.380615
0.073, 1468261268.397369
0.065, 1468261268.413879
0.065, 1468261268.430511
0.075, 1468261268.447418
0.061, 1468261268.463989
0.065, 1468261268.481109
0.075, 1468261268.497161
0.080, 1468261268.513916
0.068, 1468261268.530548
0.063, 1468261268.547363
0.056, 1468261268.563964
0.061, 1468261268.580780
0.048, 1468261268.597351
0.070, 1468261268.613952
0.068, 1468261268.630584
0.085, 1468261268.647399
0.061, 1468261268.663940
0.075, 1468261268.680786
0.065, 1468261268.697326
0.063, 1468261268.713867
0.065, 1468261268.730621
0.068, 1468261268.747283
0.065, 1468261268.764221
0.061, 1468261268.780731
0.073, 1468261268.797332
0.065, 1468261268.813873
0.068, 1468261268.830749
0.078, 1468261268.847198
0.063, 1468261268.864105
0.075, 1468261268.880523
0.070, 1468261268.897216
0.065, 1468261268.913940
0.075, 1468261268.930725
0.063, 1468261268.947204
0.068, 1468261268.963989
0.065, 1468261268.980529
0.080, 1468261268.997344
0.065, 1468261269.013977
0.065, 1468261269.030609
0.085, 1468261269.047424
0.065, 1468261269.064117
0.073, 1468261269.080566
0.070, 1468261269.097259
0.073, 1468261269.114135
0.073, 1468261269.130706
0.065, 1468261269.147460
0.068, 1468261269.163909
0.061, 1468261269.180572
0.068, 1468261269.197326
0.073, 1468261269.214019
0.070, 1468261269.230621
0.083, 1468261269.247436
0.070, 1468261269.264038
0.068, 1468261269.280700
0.068, 1468261269.297302
0.063, 1468261269.314086
0.078, 1468261269.330810
0.063, 1468261269.347259
0.068, 1468261269.364013
0.061, 1468261269.380584
0.075, 1468261269.397430
0.070, 1468261269.414062
0.061, 1468261269.430725
0.075, 1468261269.447235
0.065, 1468261269.464080
0.065, 1468261269.481018
0.070, 1468261269.497253
0.073, 1468261269.514160
0.073, 1468261269.530639
0.063, 1468261269.547271
0.053, 1468261269.563964
0.065, 1468261269.580688
0.070, 1468261269.597290
0.075, 1468261269.613983
0.065, 1468261269.630584
0.075, 1468261269.647552
0.065, 1468261269.663879
0.070, 1468261269.680694
0.070, 1468261269.697204
0.070, 1468261269.713958
0.075, 1468261269.730682
0.070, 1468261269.747253
0.068, 1468261269.763854
0.070, 1468261269.780639
0.078, 1468261269.797271
0.073, 1468261269.813934
0.063, 1468261269.830657
0.073, 1468261269.847473
0.058, 1468261269.864044
0.073, 1468261269.880615
0.070, 1468261269.897399
0.075, 1468261269.913940
0.075, 1468261269.930572
0.068, 1468261269.947265
0.065, 1468261269.964050
0.068, 1468261269.980621
0.080, 1468261269.997314
0.073, 1468261270.013977
0.070, 1468261270.030548
0.075, 1468261270.047271
0.058, 1468261270.063903
0.061, 1468261270.080566
0.068, 1468261270.097412
0.078, 1468261270.114135
0.068, 1468261270.130615
0.070, 1468261270.147399
0.065, 1468261270.164001
0.070, 1468261270.180664
0.080, 1468261270.197448
0.068, 1468261270.213897
0.068, 1468261270.230590
0.083, 1468261270.247467
0.065, 1468261270.264099
0.070, 1468261270.280792
0.073, 1468261270.297149
0.078, 1468261270.313873
