temperature, time
23.188, 1468260498.075134
23.188, 1468260499.075195
23.188, 1468260500.075195
23.188, 1468260501.244384
23.250, 1468260502.083740
23.250, 1468260503.083526
23.188, 1468260504.083282
23.188, 1468260505.082794
23.188, 1468260506.254058
23.250, 1468260507.066711
23.250, 1468260508.066833
23.188, 1468260509.066833
23.250, 1468260510.066802
23.250, 1468260511.285217
23.250, 1468260512.070007
23.250, 1468260513.069396
23.250, 1468260514.069335
23.250, 1468260515.069213
23.250, 1468260516.278289
23.250, 1468260517.066802
23.250, 1468260518.066955
23.250, 1468260519.067108
23.250, 1468260520.066925
23.250, 1468260521.132995
23.312, 1468260522.076446
23.250, 1468260523.076477
23.250, 1468260524.076324
23.250, 1468260525.076904
23.312, 1468260526.139892
23.250, 1468260527.082550
23.250, 1468260528.083312
23.312, 1468260529.083038
23.250, 1468260530.082153
23.312, 1468260531.273101
23.250, 1468260532.072235
23.250, 1468260533.072906
23.312, 1468260534.073059
23.312, 1468260535.072082
23.312, 1468260536.342498
23.250, 1468260537.085083
23.312, 1468260538.085601
23.312, 1468260539.085540
23.312, 1468260540.084930
23.312, 1468260541.355285
23.250, 1468260542.066711
23.312, 1468260543.067230
23.250, 1468260544.066894
23.312, 1468260545.066955
23.312, 1468260546.126068
23.312, 1468260547.070037
23.375, 1468260548.070098
23.312, 1468260549.070037
23.312, 1468260550.070587
23.312, 1468260551.118865
23.312, 1468260552.072143
23.312, 1468260553.070434
23.375, 1468260554.070922
23.312, 1468260555.071136
23.375, 1468260556.123107
23.312, 1468260557.070495
23.375, 1468260558.070648
23.312, 1468260559.070404
23.375, 1468260560.069854
23.312, 1468260561.118286
23.312, 1468260562.070953
23.312, 1468260563.070922
23.312, 1468260564.070556
23.375, 1468260565.070129
23.375, 1468260566.109405
23.312, 1468260567.070831
23.312, 1468260568.070007
23.375, 1468260569.070739
23.312, 1468260570.071136
23.375, 1468260571.223114
23.375, 1468260572.085815
23.312, 1468260573.086669
23.312, 1468260574.086395
23.375, 1468260575.086547
23.375, 1468260576.247100
23.375, 1468260577.078369
23.375, 1468260578.077880
23.375, 1468260579.078186
23.438, 1468260580.078338
23.375, 1468260581.213134
23.375, 1468260582.080200
23.438, 1468260583.079956
23.312, 1468260584.079864
23.375, 1468260585.082977
23.375, 1468260586.233917
23.375, 1468260587.091766
23.375, 1468260588.092315
23.375, 1468260589.090637
23.438, 1468260590.092193
23.438, 1468260591.147796
23.438, 1468260592.067138
23.375, 1468260593.067382
23.438, 1468260594.066955
23.375, 1468260595.066986
23.375, 1468260596.108276
23.375, 1468260597.066986
23.375, 1468260598.066955
23.438, 1468260599.067199
23.438, 1468260600.066955
23.375, 1468260601.091003
23.438, 1468260602.066955
23.375, 1468260603.066955
23.438, 1468260604.067077
23.438, 1468260605.066955
23.375, 1468260606.123962
23.438, 1468260607.071777
23.438, 1468260608.071655
23.375, 1468260609.072143
23.375, 1468260610.071502
23.375, 1468260611.125274
23.438, 1468260612.073242
23.438, 1468260613.073822
23.438, 1468260614.072845
23.438, 1468260615.074554
23.438, 1468260616.124542
23.438, 1468260617.073181
23.438, 1468260618.073852
23.438, 1468260619.072814
23.438, 1468260620.074005
23.438, 1468260621.127105
23.500, 1468260622.075378
23.500, 1468260623.075714
23.438, 1468260624.073303
23.438, 1468260625.074584
23.438, 1468260626.124664
23.438, 1468260627.075653
23.438, 1468260628.073883
23.500, 1468260629.075836
23.438, 1468260630.073822
23.438, 1468260631.127044
23.500, 1468260632.075866
23.438, 1468260633.073791
23.438, 1468260634.074462
23.500, 1468260635.075805
23.438, 1468260636.104187
23.438, 1468260637.074615
23.438, 1468260638.073944
23.500, 1468260639.075836
23.500, 1468260640.073791
23.500, 1468260641.139007
23.438, 1468260642.082702
23.438, 1468260643.084289
23.438, 1468260644.084075
23.500, 1468260645.087005
23.500, 1468260646.147155
23.500, 1468260647.066955
23.438, 1468260648.067291
23.500, 1468260649.066925
23.500, 1468260650.067047
23.500, 1468260651.132293
23.500, 1468260652.080749
23.500, 1468260653.080749
23.438, 1468260654.080413
23.500, 1468260655.080871
23.500, 1468260656.134124
23.500, 1468260657.080596
23.500, 1468260658.080474
23.500, 1468260659.080718
23.500, 1468260660.080444
23.500, 1468260661.134582
23.500, 1468260662.088531
23.500, 1468260663.088470
23.500, 1468260664.088287
23.500, 1468260665.087097
23.438, 1468260666.147277
23.500, 1468260667.067260
23.500, 1468260668.067382
23.500, 1468260669.066986
23.500, 1468260670.066986
23.438, 1468260671.067321
23.500, 1468260672.067413
23.500, 1468260673.067321
23.500, 1468260674.067138
23.500, 1468260675.066955
23.438, 1468260676.203063
23.500, 1468260677.073699
23.500, 1468260678.073730
23.500, 1468260679.073242
23.500, 1468260680.073669
23.500, 1468260681.216522
23.500, 1468260682.083190
23.500, 1468260683.082641
23.500, 1468260684.083007
23.500, 1468260685.082183
23.500, 1468260686.206420
23.500, 1468260687.077850
