Original Header:

Sensor Name: ADS1015
Cow ID: 129
I2CAddress: 0x48
Sampling frequency: 25 Hz
Data Format: 
	V_a0, V_b0, V_c0, t0
	V_a1, V_b1, V_c1, t1
	...
	...
	...
	V_an, V_bn, V_cn, tn
	Where V_a is the voltage on channel 3 of the ADC in signed short format. (16-bit) This voltage represents the voltage coming off of the GSR sensor. V_b is the votlage coming off of the first ECG on channel 2. It is also in signed short format. V_c is the voltage coming off of the second ECG on channel 1. Cannel 0 is unused. t is the time that the data point was taken in seconds, from the epoch. It is a double precision float. (64-bit) Each data point consists of these 3 voltages and a timestamp, sequentially written to file. !@#

CSV Header:
All the values are now in Volt units.
The time is in seconds, subtracting off the startTime.
!@#
3.949, 0.469, 0.042, 0.000000
3.949, 0.149, 0.159, 0.037598
3.949, 0.130, 4.055, 0.077607
3.949, 4.070, 0.158, 0.117615
3.949, 0.018, 0.195, 0.157868
3.949, 0.032, 0.079, 0.197785
3.949, 4.053, 0.282, 0.237885
3.949, 0.042, 0.060, 0.277863
3.949, 4.075, 0.280, 0.318024
3.949, 0.029, 0.289, 0.357453
3.949, 0.061, 0.117, 0.397278
3.949, 4.084, 0.350, 0.438233
3.949, 0.038, 0.128, 0.477448
3.949, 4.090, 0.312, 0.517365
3.949, 0.031, 0.335, 0.558747
3.949, 0.038, 0.181, 0.597565
3.949, 0.002, 0.391, 0.637787
3.949, 0.089, 0.153, 0.677704
3.949, 0.064, 0.336, 0.717804
3.949, 0.094, 0.347, 0.757508
3.949, 0.079, 0.237, 0.798249
3.949, 0.007, 0.385, 0.837769
3.949, 0.071, 0.149, 0.877655
3.949, 0.011, 0.342, 0.917725
3.949, 0.073, 0.152, 0.961091
3.950, 4.090, 0.344, 1.000428
3.950, 0.022, 0.419, 1.037598
3.950, 0.085, 0.186, 1.077607
3.950, 0.078, 0.409, 1.121796
3.950, 0.071, 0.364, 1.158173
3.950, 0.093, 0.193, 1.197388
3.950, 4.082, 0.409, 1.238465
3.950, 0.027, 0.172, 1.277924
3.950, 4.092, 0.383, 1.318238
3.950, 0.015, 0.352, 1.357453
3.950, 0.038, 0.208, 1.397705
3.950, 0.009, 0.412, 1.438569
3.950, 0.068, 0.149, 1.477784
3.950, 0.002, 0.337, 1.517579
3.950, 0.025, 0.325, 1.559235
3.950, 0.010, 0.152, 1.597077
3.950, 4.061, 0.367, 1.638184
3.950, 0.000, 0.148, 1.677582
3.950, 4.077, 0.352, 1.718171
3.950, 4.082, 0.344, 1.757691
3.950, 0.010, 0.212, 1.797821
3.950, 4.066, 0.389, 1.838501
3.950, 0.036, 0.145, 1.878083
3.950, 4.054, 0.312, 1.917206
3.950, 4.090, 0.136, 1.961121
3.949, 4.035, 0.345, 2.000946
3.949, 4.034, 0.413, 2.037842
3.949, 0.028, 0.182, 2.078614
3.949, 4.089, 0.351, 2.117859
3.949, 0.015, 0.344, 2.157685
3.949, 0.033, 0.227, 2.198151
3.949, 4.066, 0.375, 2.237824
3.949, 0.031, 0.130, 2.277649
3.949, 4.078, 0.330, 2.317810
3.949, 4.076, 0.323, 2.357789
3.949, 0.000, 0.225, 2.398682
3.949, 4.047, 0.351, 2.438416
3.949, 4.073, 0.120, 2.477662
3.949, 4.056, 0.320, 2.517823
3.949, 4.069, 0.322, 2.559113
3.949, 4.064, 0.212, 2.598145
3.949, 4.059, 0.391, 2.637909
3.949, 0.057, 0.149, 2.678009
3.949, 4.087, 0.357, 2.717804
3.949, 0.034, 0.366, 2.758149
3.949, 0.036, 0.209, 2.797882
3.949, 4.090, 0.391, 2.837799
3.949, 0.079, 0.139, 2.877747
3.949, 0.044, 0.331, 2.917847
3.949, 0.086, 0.118, 2.961182
3.949, 4.061, 0.308, 3.000397
3.949, 4.055, 0.367, 3.038453
3.949, 0.005, 0.111, 3.078125
3.949, 4.063, 0.318, 3.118103
3.949, 4.057, 0.303, 3.157685
3.949, 4.076, 0.179, 3.197937
3.949, 4.052, 0.374, 3.237793
3.949, 0.000, 0.118, 3.278138
3.949, 4.056, 0.336, 3.318024
3.949, 0.001, 0.318, 3.357666
3.949, 4.094, 0.177, 3.397889
3.949, 4.042, 0.379, 3.438538
3.949, 0.012, 0.115, 3.478028
3.949, 4.043, 0.325, 3.517914
3.949, 4.055, 0.315, 3.559662
3.949, 4.087, 0.182, 3.597779
3.949, 4.066, 0.375, 3.638428
3.949, 0.065, 0.148, 3.677887
3.949, 0.019, 0.336, 3.718018
3.949, 0.078, 0.318, 3.757966
3.949, 0.067, 0.151, 3.797974
3.949, 4.061, 0.330, 3.837861
3.949, 0.004, 0.050, 3.877655
3.949, 4.022, 0.209, 3.917664
3.949, 0.612, 4.029, 4.130738
3.972, 0.080, 4.060, 4.163880
3.972, 4.031, 0.214, 4.203278
3.972, 4.011, 0.190, 4.240876
3.972, 4.057, 0.063, 4.281495
3.972, 4.025, 0.281, 4.321625
3.972, 4.056, 0.060, 4.361420
3.972, 4.085, 0.289, 4.401795
3.972, 0.041, 0.199, 4.442414
3.972, 0.054, 0.146, 4.480866
3.972, 0.089, 0.369, 4.520997
3.972, 0.091, 0.132, 4.561707
3.972, 0.076, 0.355, 4.601624
3.972, 0.083, 0.351, 4.641175
3.972, 0.084, 0.227, 4.681275
3.972, 0.079, 0.402, 4.721039
3.972, 0.074, 0.154, 4.761628
3.972, 0.039, 0.357, 4.801453
3.972, 0.049, 0.360, 4.841462
3.972, 0.078, 0.259, 4.881745
3.972, 0.097, 0.419, 4.921051
3.972, 0.140, 0.165, 4.961609
3.972, 0.109, 0.366, 5.001343
3.972, 0.099, 0.367, 5.041260
3.972, 0.097, 0.245, 5.081574
3.972, 0.027, 0.223, 5.126923
0.157, 0.032, 0.208, 5.164002
0.157, 0.015, 0.420, 5.202546
0.157, 0.033, 0.378, 5.240937
0.157, 0.026, 0.269, 5.281434
0.157, 0.053, 0.435, 5.321320
0.157, 0.050, 0.186, 5.361847
0.157, 0.059, 0.372, 5.400940
0.157, 0.072, 0.316, 5.442414
0.157, 0.050, 0.259, 5.481568
0.157, 0.039, 0.430, 5.521393
0.157, 0.067, 0.176, 5.562073
0.157, 0.051, 0.356, 5.600617
0.157, 0.088, 0.370, 5.640747
0.157, 0.088, 0.201, 5.680664
0.157, 0.053, 0.413, 5.721131
0.157, 0.077, 0.162, 5.761567
0.157, 0.056, 0.365, 5.801300
0.157, 0.061, 0.318, 5.842255
0.157, 0.056, 0.273, 5.881867
0.157, 0.012, 0.413, 5.921906
0.157, 0.029, 0.163, 5.961579
0.157, 4.081, 0.363, 6.001526
0.157, 0.030, 0.356, 6.040863
0.157, 0.036, 0.229, 6.081482
0.157, 4.079, 0.190, 6.127167
0.154, 0.003, 0.178, 6.163483
0.154, 4.074, 0.403, 6.202973
0.154, 0.024, 0.352, 6.241486
0.154, 0.013, 0.241, 6.281556
0.154, 0.010, 0.405, 6.322388
0.154, 0.044, 0.195, 6.361206
0.154, 0.072, 0.399, 6.401612
0.154, 0.129, 0.271, 6.443055
0.154, 0.122, 0.288, 6.481903
0.154, 0.108, 0.418, 6.521973
0.154, 0.099, 0.160, 6.562806
0.154, 0.029, 0.384, 6.601868
0.154, 0.050, 0.364, 6.641053
0.154, 0.059, 0.256, 6.682648
0.154, 0.020, 0.407, 6.721497
0.154, 0.023, 0.171, 6.761597
0.154, 0.035, 0.361, 6.800843
0.154, 0.066, 0.368, 6.840943
0.154, 0.065, 0.251, 6.881623
0.154, 0.049, 0.413, 6.921997
0.154, 0.060, 0.167, 6.961335
0.154, 0.014, 0.349, 7.000702
0.154, 0.031, 0.375, 7.040802
0.154, 0.060, 0.234, 7.081086
0.154, 0.049, 0.231, 7.126862
0.158, 0.027, 0.217, 7.164063
0.158, 0.040, 0.448, 7.203003
0.158, 0.045, 0.418, 7.240632
0.158, 0.060, 0.284, 7.281586
0.158, 0.105, 0.459, 7.321076
0.158, 0.112, 0.215, 7.361481
0.158, 0.110, 0.409, 7.400971
0.158, 0.147, 0.310, 7.442994
0.158, 0.123, 0.262, 7.481720
0.158, 0.117, 0.431, 7.521332
0.158, 0.117, 0.144, 7.562226
0.158, 4.073, 0.347, 7.601746
0.158, 4.055, 0.320, 7.641419
0.158, 4.034, 0.184, 7.682465
0.158, 4.016, 0.350, 7.720551
0.158, 4.030, 0.087, 7.761109
0.158, 4.023, 0.261, 7.800904
0.158, 4.030, 0.280, 7.840821
0.158, 4.030, 0.090, 7.880524
0.158, 4.020, 0.319, 7.920929
0.158, 4.030, 0.088, 7.960816
0.158, 4.014, 0.270, 8.001343
0.158, 4.018, 0.259, 8.041535
0.158, 4.017, 0.162, 8.081726
0.158, 3.975, 0.093, 8.127625
3.950, 3.995, 0.080, 8.162964
3.950, 4.035, 0.319, 8.202912
3.950, 4.005, 0.276, 8.240845
3.950, 4.020, 0.088, 8.280274
3.950, 4.055, 0.326, 8.322358
3.950, 4.016, 0.097, 8.361390
3.950, 4.025, 0.285, 8.400849
3.950, 4.043, 0.229, 8.442963
3.950, 4.080, 0.208, 8.481385
3.950, 4.075, 0.396, 8.521637
3.950, 0.040, 0.150, 8.562317
3.950, 0.025, 0.419, 8.601593
3.950, 0.070, 0.446, 8.640625
3.950, 0.088, 0.366, 8.682923
3.950, 0.102, 0.515, 8.721253
3.950, 0.098, 0.252, 8.760987
3.950, 0.115, 0.386, 8.800995
3.950, 0.094, 0.357, 8.841248
3.950, 0.080, 0.177, 8.880921
3.950, 0.051, 0.305, 8.924683
3.950, 0.777, 4.040, 9.131928
3.950, 0.362, 0.088, 9.224274
3.950, 0.132, 3.998, 9.262177
3.950, 4.081, 0.079, 9.299591
3.950, 4.032, 4.092, 9.345185
0.138, 4.062, 0.162, 9.382080
0.138, 4.074, 0.307, 9.420105
0.138, 0.006, 0.134, 9.459687
0.138, 4.077, 0.182, 9.499848
0.138, 4.025, 0.241, 9.539399
0.138, 3.975, 0.019, 9.580597
0.138, 3.974, 0.240, 9.620423
0.138, 3.975, 0.066, 9.659974
0.138, 3.996, 0.152, 9.700135
0.138, 3.988, 0.226, 9.739991
0.138, 3.976, 0.022, 9.779908
0.138, 4.005, 0.263, 9.820191
0.138, 3.986, 0.118, 9.859833
0.138, 4.016, 0.243, 9.899903
0.138, 4.023, 0.325, 9.939972
0.138, 3.996, 0.118, 9.980317
0.138, 4.039, 0.368, 10.019837
0.138, 0.013, 0.118, 10.061799
0.138, 4.030, 0.291, 10.099823
0.138, 4.064, 0.366, 10.139893
0.138, 4.092, 0.134, 10.179657
0.138, 4.068, 0.407, 10.220490
0.138, 0.005, 0.253, 10.259888
0.138, 0.028, 0.330, 10.300110
0.138, 0.035, 0.150, 10.345704
3.997, 4.084, 0.312, 10.382447
3.997, 4.070, 0.420, 10.420319
3.997, 0.020, 0.263, 10.459870
3.997, 0.047, 0.326, 10.499543
3.997, 0.070, 0.405, 10.539917
3.997, 0.092, 0.181, 10.580018
3.997, 0.086, 0.439, 10.620179
3.997, 0.128, 0.257, 10.660035
3.997, 0.118, 0.373, 10.700653
3.997, 0.117, 0.421, 10.740418
3.997, 0.113, 0.207, 10.779847
3.997, 0.119, 0.459, 10.820404
3.997, 0.121, 0.266, 10.860138
3.997, 0.105, 0.373, 10.900208
3.997, 0.106, 0.435, 10.939911
3.997, 0.089, 0.215, 10.979981
3.997, 0.080, 0.456, 11.020203
3.997, 0.109, 0.235, 11.060944
3.997, 0.113, 0.354, 11.099610
3.997, 0.120, 0.416, 11.140412
3.997, 0.093, 0.190, 11.179749
3.997, 0.085, 0.439, 11.220002
3.997, 0.097, 0.270, 11.259949
3.997, 0.090, 0.342, 11.299714
3.997, 0.074, 0.182, 11.345612
0.156, 0.075, 0.350, 11.383301
0.156, 0.060, 0.434, 11.419861
0.156, 0.081, 0.285, 11.459717
0.156, 0.068, 0.345, 11.500000
0.156, 0.102, 0.414, 11.539521
0.156, 0.100, 0.171, 11.579895
0.156, 0.046, 0.413, 11.620057
0.156, 0.068, 0.255, 11.659790
0.156, 0.093, 0.320, 11.700196
0.156, 0.074, 0.389, 11.739899
0.156, 0.085, 0.139, 11.779725
0.156, 0.015, 0.402, 11.820466
0.156, 0.037, 0.231, 11.860016
0.156, 0.020, 0.311, 11.900116
0.156, 0.009, 0.381, 11.939393
0.156, 4.086, 0.130, 11.979493
0.156, 4.055, 0.389, 12.019684
0.156, 0.018, 0.167, 12.060791
0.156, 4.079, 0.288, 12.099396
0.156, 4.062, 0.377, 12.139832
0.156, 4.078, 0.129, 12.179566
0.156, 4.085, 0.390, 12.220246
0.156, 0.033, 0.213, 12.260254
0.156, 0.009, 0.304, 12.300110
0.156, 4.066, 0.117, 12.345765
3.951, 4.025, 0.271, 12.382447
3.951, 4.048, 0.404, 12.420533
3.951, 0.003, 0.252, 12.459748
3.951, 0.010, 0.319, 12.500336
3.951, 0.018, 0.392, 12.539307
3.951, 0.069, 0.133, 12.579804
3.951, 0.005, 0.383, 12.619507
3.951, 0.036, 0.232, 12.659882
3.951, 0.046, 0.316, 12.700562
3.951, 0.022, 0.370, 12.740296
3.951, 0.044, 0.126, 12.779816
3.951, 4.094, 0.391, 12.820191
3.951, 0.030, 0.236, 12.859894
3.951, 0.020, 0.308, 12.900055
3.951, 0.006, 0.385, 12.939362
3.951, 0.005, 0.130, 12.979493
3.951, 0.003, 0.393, 13.020020
3.951, 0.034, 0.181, 13.060822
3.951, 0.002, 0.301, 13.099701
3.951, 0.013, 0.374, 13.140107
3.951, 0.042, 0.140, 13.179993
3.951, 0.019, 0.391, 13.219849
3.951, 0.030, 0.259, 13.259552
3.951, 0.061, 0.294, 13.299836
3.951, 0.011, 0.142, 13.345643
3.965, 4.068, 0.298, 13.382843
3.965, 4.090, 0.390, 13.419709
3.965, 0.041, 0.212, 13.460236
3.965, 0.029, 0.319, 13.500153
3.965, 0.034, 0.383, 13.539948
3.965, 0.057, 0.137, 13.579834
3.965, 0.033, 0.390, 13.620087
3.965, 0.061, 0.209, 13.660126
3.965, 0.041, 0.290, 13.699463
3.965, 0.029, 0.374, 13.739930
3.965, 0.038, 0.134, 13.779938
3.965, 4.086, 0.384, 13.820130
3.965, 0.046, 0.220, 13.860138
3.965, 0.038, 0.309, 13.900361
3.965, 0.729, 0.188, 14.140595
3.965, 0.491, 0.018, 14.243775
3.965, 0.170, 0.168, 14.267975
3.965, 0.091, 0.227, 14.308228
3.965, 0.008, 0.037, 14.347321
3.965, 4.050, 0.282, 14.387391
3.965, 4.064, 0.092, 14.427216
3.965, 4.066, 0.239, 14.467469
3.965, 0.003, 0.300, 14.506745
3.965, 4.079, 0.092, 14.547425
3.965, 4.046, 0.276, 14.592194
0.152, 0.011, 0.096, 14.629151
0.152, 4.065, 0.296, 14.667603
0.152, 0.017, 0.330, 14.707306
0.152, 0.053, 0.129, 14.747315
0.152, 4.071, 0.372, 14.787232
0.152, 0.026, 0.141, 14.827851
0.152, 0.015, 0.296, 14.867096
0.152, 0.050, 0.343, 14.907135
0.152, 0.031, 0.155, 14.947907
0.152, 4.064, 0.385, 14.987030
0.152, 0.049, 0.188, 15.027070
0.152, 0.034, 0.299, 15.066925
0.152, 0.047, 0.344, 15.107361
0.152, 0.059, 0.129, 15.146851
0.152, 0.004, 0.377, 15.187226
0.152, 0.046, 0.199, 15.226929
0.152, 0.031, 0.303, 15.267090
0.152, 0.033, 0.298, 15.309205
0.152, 0.012, 0.175, 15.347901
0.152, 4.087, 0.391, 15.387879
0.152, 0.026, 0.170, 15.427765
0.152, 0.009, 0.313, 15.467286
0.152, 0.020, 0.355, 15.507355
0.152, 0.034, 0.143, 15.547059
0.152, 4.053, 0.240, 15.593354
0.163, 4.086, 0.136, 15.629548
0.163, 4.082, 0.338, 15.667603
0.163, 0.009, 0.369, 15.707398
0.163, 0.033, 0.156, 15.747132
0.163, 4.081, 0.393, 15.786927
0.163, 0.016, 0.153, 15.828492
0.163, 4.093, 0.331, 15.867798
0.163, 0.019, 0.357, 15.907746
0.163, 0.045, 0.152, 15.947327
0.163, 4.054, 0.387, 15.986390
0.163, 0.037, 0.176, 16.027588
0.163, 0.015, 0.367, 16.068970
0.163, 0.053, 0.359, 16.107239
0.163, 0.042, 0.152, 16.147522
0.163, 4.082, 0.393, 16.188324
0.163, 0.023, 0.190, 16.227173
0.163, 0.019, 0.312, 16.267151
0.163, 0.023, 0.331, 16.308808
0.163, 0.012, 0.154, 16.347382
0.163, 4.061, 0.402, 16.387574
0.163, 4.095, 0.166, 16.427826
0.163, 4.074, 0.340, 16.467774
0.163, 0.041, 0.353, 16.507691
0.163, 0.035, 0.173, 16.547669
0.163, 4.072, 0.303, 16.592499
0.157, 0.014, 0.132, 16.629517
0.157, 4.035, 0.328, 16.667298
0.157, 4.078, 0.371, 16.707276
0.157, 0.014, 0.144, 16.747101
0.157, 4.061, 0.404, 16.787293
0.157, 0.035, 0.152, 16.828370
0.157, 0.013, 0.322, 16.867279
0.157, 0.005, 0.359, 16.907288
0.157, 0.012, 0.152, 16.947388
0.157, 4.050, 0.404, 16.987732
0.157, 0.016, 0.206, 17.026978
0.157, 0.043, 0.347, 17.068268
0.157, 0.049, 0.372, 17.106842
0.157, 0.053, 0.161, 17.147889
0.157, 4.063, 0.392, 17.188294
0.157, 0.006, 0.194, 17.227417
0.157, 4.089, 0.327, 17.267884
0.157, 0.003, 0.379, 17.308167
0.157, 0.025, 0.125, 17.346466
0.157, 4.071, 0.386, 17.386567
0.157, 0.028, 0.225, 17.426789
0.157, 0.051, 0.315, 17.467560
0.157, 0.044, 0.354, 17.507233
0.157, 0.018, 0.146, 17.547455
0.157, 4.075, 0.242, 17.593171
0.151, 4.084, 0.137, 17.630249
0.151, 4.018, 0.332, 17.667542
0.151, 4.084, 0.346, 17.708130
0.151, 0.030, 0.147, 17.747376
0.151, 4.082, 0.395, 17.787507
0.151, 0.034, 0.164, 17.827759
0.151, 0.023, 0.319, 17.867585
0.151, 0.035, 0.353, 17.907105
0.151, 0.060, 0.133, 17.946991
0.151, 4.085, 0.386, 17.987214
0.151, 0.035, 0.190, 18.027314
0.151, 0.039, 0.332, 18.068207
0.151, 0.018, 0.355, 18.107148
0.151, 0.016, 0.150, 18.147583
0.151, 4.062, 0.392, 18.187897
0.151, 0.008, 0.208, 18.227051
0.151, 0.003, 0.309, 18.267273
0.151, 0.008, 0.334, 18.308808
0.151, 0.005, 0.134, 18.346985
0.151, 4.067, 0.389, 18.386994
0.151, 0.039, 0.191, 18.427063
0.151, 0.022, 0.311, 18.467377
0.151, 4.088, 0.351, 18.507599
0.151, 0.006, 0.165, 18.547669
0.151, 4.050, 0.266, 18.593079
0.148, 4.068, 0.132, 18.628968
0.148, 4.044, 0.335, 18.667603
0.148, 4.095, 0.382, 18.706818
0.148, 0.029, 0.151, 18.747559
0.148, 4.063, 0.388, 18.787018
0.148, 0.005, 0.139, 18.828766
0.148, 4.067, 0.310, 18.866974
0.148, 4.091, 0.366, 18.907410
0.148, 0.600, 0.207, 19.156067
0.148, 0.193, 0.154, 19.192231
0.148, 0.018, 0.229, 19.219300
0.148, 4.092, 0.208, 19.258271
0.148, 4.083, 0.120, 19.298890
0.148, 4.051, 0.282, 19.339142
0.148, 4.063, 0.045, 19.378937
0.148, 4.049, 0.294, 19.418946
0.148, 4.082, 0.228, 19.459504
0.148, 0.012, 0.169, 19.498658
0.148, 4.038, 0.340, 19.539093
0.148, 4.084, 0.086, 19.579041
0.148, 4.089, 0.336, 19.619751
0.148, 0.004, 0.266, 19.659241
0.148, 0.019, 0.250, 19.699372
0.148, 4.070, 0.358, 19.739624
0.148, 4.071, 0.308, 19.784516
0.143, 0.004, 0.380, 19.821473
0.143, 0.021, 0.277, 19.859681
0.143, 0.016, 0.272, 19.899384
0.143, 4.081, 0.383, 19.938935
0.143, 0.003, 0.131, 19.978974
0.143, 4.088, 0.367, 20.019165
0.143, 0.032, 0.291, 20.059235
0.143, 0.052, 0.236, 20.098908
0.143, 4.093, 0.383, 20.139405
0.143, 0.024, 0.115, 20.179505
0.143, 4.084, 0.363, 20.219330
0.143, 0.014, 0.279, 20.259613
0.143, 0.034, 0.288, 20.299683
0.143, 4.085, 0.371, 20.339844
0.143, 0.039, 0.112, 20.379548
0.143, 0.003, 0.359, 20.419312
0.143, 0.047, 0.260, 20.459656
0.143, 0.020, 0.269, 20.499421
0.143, 4.085, 0.378, 20.539399
0.143, 0.001, 0.117, 20.579621
0.143, 4.084, 0.367, 20.619568
0.143, 0.037, 0.270, 20.659455
0.143, 0.018, 0.278, 20.699494
0.143, 0.007, 0.377, 20.739502
0.143, 4.090, 0.322, 20.784607
0.147, 4.095, 0.400, 20.822022
0.147, 0.010, 0.252, 20.860016
0.147, 4.095, 0.305, 20.899811
0.147, 0.001, 0.372, 20.940644
0.147, 4.080, 0.134, 20.979615
0.147, 4.043, 0.389, 21.019623
0.147, 0.002, 0.236, 21.060334
0.147, 0.005, 0.300, 21.099640
0.147, 0.000, 0.390, 21.139649
0.147, 0.034, 0.130, 21.179291
0.147, 4.077, 0.368, 21.218750
0.147, 0.006, 0.310, 21.259156
0.147, 0.006, 0.273, 21.299134
0.147, 4.086, 0.389, 21.339692
0.147, 0.049, 0.131, 21.379883
0.147, 4.094, 0.379, 21.419678
0.147, 0.026, 0.291, 21.459534
0.147, 0.003, 0.270, 21.499176
0.147, 4.079, 0.393, 21.538971
0.147, 0.026, 0.120, 21.579529
0.147, 4.069, 0.373, 21.619385
0.147, 0.005, 0.294, 21.659333
0.147, 0.016, 0.263, 21.699189
0.147, 0.013, 0.381, 21.739228
0.147, 4.077, 0.322, 21.784577
0.160, 0.003, 0.394, 21.821473
0.160, 0.029, 0.296, 21.859467
0.160, 0.039, 0.253, 21.899048
0.160, 0.004, 0.357, 21.940674
0.160, 4.093, 0.132, 21.979096
0.160, 4.086, 0.374, 22.019288
0.160, 0.040, 0.217, 22.060456
0.160, 0.002, 0.255, 22.098969
0.160, 4.075, 0.384, 22.139435
0.160, 0.014, 0.118, 22.179413
0.160, 4.082, 0.356, 22.218842
0.160, 0.028, 0.273, 22.259583
0.160, 0.019, 0.286, 22.299591
0.160, 4.077, 0.387, 22.338868
0.160, 0.040, 0.116, 22.379395
0.160, 0.013, 0.363, 22.419342
0.160, 0.027, 0.299, 22.459198
0.160, 0.023, 0.231, 22.498871
0.160, 4.094, 0.371, 22.539765
0.160, 0.043, 0.117, 22.579071
0.160, 0.002, 0.342, 22.618622
0.160, 0.036, 0.260, 22.659790
0.160, 0.026, 0.261, 22.699341
0.160, 4.083, 0.373, 22.739289
0.160, 0.003, 0.304, 22.784424
0.102, 0.004, 0.388, 22.820923
0.102, 0.010, 0.303, 22.859131
0.102, 0.027, 0.261, 22.899079
0.102, 0.006, 0.371, 22.939881
0.102, 0.000, 0.119, 22.979523
0.102, 4.059, 0.380, 23.019654
0.102, 4.095, 0.180, 23.061219
0.102, 4.084, 0.263, 23.099152
0.102, 4.078, 0.388, 23.139191
0.102, 0.032, 0.120, 23.179413
0.102, 4.091, 0.354, 23.219117
0.102, 0.015, 0.276, 23.259736
0.102, 0.005, 0.211, 23.298523
0.102, 4.060, 0.386, 23.339112
0.102, 0.006, 0.122, 23.379853
0.102, 4.066, 0.366, 23.419495
0.102, 0.044, 0.259, 23.459717
0.102, 0.058, 0.265, 23.499329
0.102, 0.007, 0.374, 23.539338
0.102, 0.035, 0.111, 23.579438
0.102, 4.087, 0.354, 23.619477
0.102, 0.028, 0.316, 23.659089
0.102, 0.032, 0.254, 23.699219
0.102, 4.075, 0.380, 23.738495
0.102, 4.088, 0.310, 23.784668
0.161, 4.094, 0.393, 23.821595
0.161, 0.012, 0.317, 23.859314
0.161, 0.002, 0.295, 23.899689
0.161, 0.414, 0.090, 24.011017
0.161, 0.114, 0.338, 24.038269
0.161, 0.083, 0.309, 24.074585
0.161, 0.032, 0.104, 24.114533
0.161, 4.063, 0.359, 24.154725
0.161, 0.006, 0.161, 24.194153
0.161, 4.086, 0.298, 24.234223
0.161, 0.035, 0.342, 24.274170
0.161, 0.031, 0.130, 24.314179
0.161, 4.078, 0.351, 24.353791
0.161, 0.029, 0.183, 24.393616
0.161, 0.033, 0.334, 24.435517
0.161, 0.044, 0.334, 24.474152
0.161, 0.031, 0.115, 24.514069
0.161, 4.079, 0.372, 24.554749
0.161, 0.020, 0.184, 24.593872
0.161, 0.010, 0.292, 24.633942
0.161, 0.028, 0.369, 24.673310
0.161, 0.022, 0.124, 24.713959
0.161, 4.079, 0.379, 24.754578
0.161, 0.031, 0.194, 24.794098
0.161, 0.000, 0.377, 24.839539
0.150, 0.018, 0.283, 24.876221
0.150, 0.021, 0.133, 24.913849
0.150, 4.069, 0.392, 24.954194
0.150, 0.009, 0.202, 24.993897
0.150, 4.076, 0.319, 25.034546
0.150, 0.004, 0.356, 25.074585
0.150, 0.009, 0.134, 25.113709
0.150, 4.088, 0.391, 25.153717
0.150, 0.009, 0.240, 25.193482
0.150, 0.002, 0.298, 25.233429
0.150, 0.028, 0.368, 25.273926
0.150, 0.061, 0.218, 25.315644
0.150, 4.089, 0.389, 25.354126
0.150, 0.005, 0.197, 25.394165
0.150, 4.070, 0.333, 25.434723
0.150, 4.095, 0.366, 25.473816
0.150, 0.016, 0.168, 25.514710
0.150, 4.066, 0.389, 25.554108
0.150, 0.011, 0.213, 25.593842
0.150, 0.003, 0.294, 25.633545
0.150, 0.026, 0.357, 25.674530
0.150, 0.023, 0.125, 25.713532
0.150, 4.074, 0.382, 25.754242
0.150, 0.161, 0.302, 25.822815
0.150, 4.088, 0.200, 25.865784
4.045, 4.014, 0.366, 25.890992
4.045, 3.974, 0.177, 25.914002
4.045, 4.090, 0.411, 25.954132
4.045, 0.009, 0.222, 25.994111
4.045, 0.037, 0.345, 26.034851
4.045, 0.040, 0.331, 26.075684
4.045, 0.027, 0.176, 26.114624
4.045, 4.062, 0.404, 26.153778
4.045, 4.081, 0.242, 26.193695
4.045, 0.018, 0.321, 26.234162
4.045, 0.052, 0.357, 26.274628
4.045, 0.052, 0.205, 26.315613
4.045, 4.088, 0.388, 26.354157
4.045, 0.052, 0.250, 26.393403
4.045, 0.047, 0.312, 26.434662
4.045, 0.042, 0.358, 26.473755
4.045, 0.068, 0.130, 26.513947
4.045, 0.010, 0.374, 26.554017
4.045, 0.031, 0.201, 26.594147
4.045, 0.015, 0.295, 26.633759
4.045, 4.094, 0.350, 26.674164
4.045, 0.023, 0.126, 26.714142
4.045, 4.084, 0.385, 26.754670
4.045, 0.000, 0.188, 26.794556
4.045, 4.070, 0.376, 26.839692
0.161, 4.091, 0.318, 26.876069
0.161, 4.088, 0.137, 26.913666
0.161, 4.064, 0.399, 26.953858
0.161, 0.027, 0.263, 26.993592
0.161, 0.036, 0.308, 27.034668
0.161, 0.046, 0.336, 27.075684
0.161, 0.041, 0.136, 27.113923
0.161, 4.085, 0.389, 27.154511
0.161, 0.018, 0.207, 27.193970
0.161, 0.002, 0.303, 27.234070
0.161, 0.017, 0.367, 27.273804
0.161, 0.025, 0.210, 27.315552
0.161, 4.058, 0.386, 27.354187
0.161, 0.003, 0.202, 27.393982
0.161, 0.002, 0.333, 27.435486
0.161, 0.027, 0.365, 27.473908
0.161, 0.035, 0.131, 27.514008
0.161, 4.089, 0.378, 27.554963
0.161, 0.046, 0.161, 27.594666
0.161, 0.009, 0.285, 27.633454
0.161, 0.012, 0.355, 27.673920
0.161, 0.022, 0.125, 27.713898
0.161, 4.079, 0.376, 27.753968
0.161, 0.025, 0.197, 27.794129
0.161, 4.081, 0.371, 27.839905
0.165, 0.007, 0.265, 27.876893
0.165, 4.089, 0.152, 27.914826
0.165, 4.070, 0.398, 27.954834
0.165, 0.010, 0.208, 27.994263
0.165, 0.029, 0.301, 28.034150
0.165, 0.039, 0.336, 28.075745
