volt, time
0.596, 1468260584.608825
0.564, 1468260584.620025
0.603, 1468260584.636718
0.591, 1468260584.652893
0.593, 1468260584.671203
0.591, 1468260584.686401
0.562, 1468260584.702911
0.598, 1468260584.719665
0.584, 1468260584.736358
0.588, 1468260584.752960
0.584, 1468260584.769531
0.598, 1468260584.786590
0.596, 1468260584.802673
0.593, 1468260584.819519
0.593, 1468260584.836517
0.586, 1468260584.852874
0.588, 1468260584.869659
0.588, 1468260584.886352
0.564, 1468260584.903137
0.593, 1468260584.920898
0.581, 1468260584.936370
0.601, 1468260584.953125
0.593, 1468260584.969543
0.593, 1468260584.986511
0.596, 1468260585.002777
0.593, 1468260585.019439
0.571, 1468260585.036407
0.588, 1468260585.053070
0.574, 1468260585.069763
0.586, 1468260585.086364
0.586, 1468260585.102874
0.591, 1468260585.119506
0.586, 1468260585.136413
0.588, 1468260585.152862
0.591, 1468260585.171051
0.591, 1468260585.186401
0.586, 1468260585.202819
0.584, 1468260585.220611
0.591, 1468260585.236358
0.586, 1468260585.252899
0.598, 1468260585.269622
0.584, 1468260585.286346
0.586, 1468260585.303131
0.593, 1468260585.319519
0.584, 1468260585.336395
0.588, 1468260585.353027
0.584, 1468260585.369689
0.586, 1468260585.386535
0.588, 1468260585.402862
0.591, 1468260585.420928
0.588, 1468260585.436370
0.588, 1468260585.453063
0.591, 1468260585.469726
0.588, 1468260585.486328
0.557, 1468260585.502929
0.588, 1468260585.519622
0.581, 1468260585.536376
0.591, 1468260585.552886
0.586, 1468260585.569549
0.588, 1468260585.586517
0.593, 1468260585.602783
0.584, 1468260585.619476
0.601, 1468260585.636566
0.588, 1468260585.652984
0.593, 1468260585.671081
0.584, 1468260585.686340
0.557, 1468260585.703063
0.588, 1468260585.719482
0.586, 1468260585.736419
0.588, 1468260585.752990
0.584, 1468260585.769470
0.593, 1468260585.786560
0.586, 1468260585.803009
0.579, 1468260585.819488
0.596, 1468260585.836486
0.586, 1468260585.852905
0.593, 1468260585.869598
0.581, 1468260585.886352
0.564, 1468260585.903076
0.588, 1468260585.921234
0.579, 1468260585.936492
0.588, 1468260585.952911
0.579, 1468260585.969482
0.598, 1468260585.986633
0.593, 1468260586.002777
0.581, 1468260586.019622
0.562, 1468260586.036560
0.581, 1468260586.053283
0.593, 1468260586.140045
0.566, 1468260586.141784
0.542, 1468260586.143371
0.537, 1468260586.145324
0.540, 1468260586.146972
0.559, 1468260586.152770
0.584, 1468260586.169647
0.586, 1468260586.186248
0.581, 1468260586.202941
0.557, 1468260586.220581
0.591, 1468260586.236511
0.581, 1468260586.253448
0.584, 1468260586.269592
0.586, 1468260586.286376
0.593, 1468260586.305511
0.593, 1468260586.320617
0.584, 1468260586.336486
0.586, 1468260586.352935
0.593, 1468260586.369689
0.584, 1468260586.386535
0.601, 1468260586.403137
0.588, 1468260586.420867
0.593, 1468260586.436553
0.591, 1468260586.452819
0.566, 1468260586.469757
0.588, 1468260586.486389
0.586, 1468260586.502990
0.601, 1468260586.519653
0.581, 1468260586.536407
0.584, 1468260586.552917
0.598, 1468260586.569549
0.581, 1468260586.586364
0.598, 1468260586.602935
0.586, 1468260586.619628
0.591, 1468260586.636505
0.593, 1468260586.652954
0.598, 1468260586.670318
