Original Header:
Sensor Name: MAX30100
Cow ID: 129
I2CAddress: 0x57
Sampling frequency: 25 Hz
Data Format: 
	IR_0, RED_0, T_0, t0
	IR_1, RED_1, T_1, t1
	...
	...
	...
	IR_n, RED_n, T_n, tn
	Where IR is the MAX30100's infared count expressed as an unsigned short. (16-bit) RED is the MAX30100's RED count expressed as an unsigned short. T is the MAX30100's temperature expressed as a 32-bit float. The value is in degrees C. t is the time that the data point was taken in seconds, from the epoch. It is a double precision float. (64-bit) Each data point consists of this 3 value plus a timestamp, sequentially written to file. 
!@#

CSV Header:
The time is in seconds, subtracting off the startTime.
!@#
7304, 8244, 25.6, 3.154113
7316, 8244, 25.6, 3.194092
7320, 8252, 25.6, 3.234192
7304, 8248, 25.6, 3.274170
7300, 8256, 25.6, 3.314117
7304, 8240, 25.6, 3.354095
7304, 8252, 25.6, 3.394531
7320, 8260, 25.6, 3.434112
7304, 8256, 25.6, 3.474579
7292, 8232, 25.6, 3.514129
7316, 8248, 25.6, 3.554107
7312, 8248, 25.6, 3.595642
7280, 8240, 25.6, 3.634155
7344, 8264, 25.6, 3.674408
7300, 8272, 25.6, 3.714050
7240, 8172, 25.6, 3.754150
7316, 8260, 25.6, 3.794159
7324, 8264, 25.6, 3.834076
7276, 8212, 25.6, 3.874115
7316, 8240, 25.6, 3.914184
7300, 8236, 25.6, 3.957794
7276, 8216, 26.2, 4.172455
7300, 8240, 26.2, 4.174225
7320, 8248, 26.2, 4.214508
7296, 8236, 26.2, 4.254455
7288, 8224, 26.2, 4.294281
7300, 8236, 26.2, 4.334320
7300, 8244, 26.2, 4.374267
7284, 8224, 26.2, 4.414306
7300, 8220, 26.2, 4.454284
7300, 8228, 26.2, 4.494262
7280, 8224, 26.2, 4.534393
7300, 8220, 26.2, 4.574280
7312, 8260, 26.2, 4.614258
7284, 8220, 26.2, 4.654327
7292, 8228, 26.2, 4.694610
7288, 8228, 26.2, 4.734253
7316, 8256, 26.2, 4.774383
7284, 8216, 26.2, 4.814270
7284, 8220, 26.2, 4.854309
7292, 8220, 26.2, 4.894317
7292, 8248, 26.2, 4.934295
7300, 8244, 26.2, 4.974548
7284, 8224, 26.2, 5.014312
7284, 8232, 26.2, 5.054229
7308, 8236, 26.2, 5.094635
7320, 8248, 25.5, 5.140045
7276, 8236, 25.5, 5.174255
7268, 8216, 25.5, 5.214721
7324, 8260, 25.5, 5.254333
7284, 8240, 25.5, 5.294281
7268, 8212, 25.5, 5.334320
7360, 8296, 25.5, 5.374267
7236, 8220, 25.5, 5.414337
7252, 8152, 25.5, 5.454406
7424, 8356, 25.5, 5.494262
7272, 8240, 25.5, 5.534271
7264, 8176, 25.5, 5.574341
7336, 8292, 25.5, 5.614471
7236, 8192, 25.5, 5.654358
7328, 8240, 25.5, 5.694366
7328, 8280, 25.5, 5.734283
7232, 8172, 25.5, 5.774475
7300, 8228, 25.5, 5.814331
7324, 8308, 25.5, 5.854797
7244, 8196, 25.5, 5.894592
7288, 8216, 25.5, 5.934326
7324, 8280, 25.5, 5.974334
7256, 8196, 25.5, 6.014282
7296, 8236, 25.5, 6.054229
7288, 8224, 25.5, 6.094330
7280, 8216, 26.2, 6.139831
7296, 8248, 26.2, 6.174499
7284, 8232, 26.2, 6.214294
7288, 8216, 26.2, 6.254333
7312, 8252, 26.2, 6.294311
7276, 8232, 26.2, 6.334289
7268, 8204, 26.2, 6.374328
7304, 8236, 26.2, 6.414642
7280, 8232, 26.2, 6.454345
7272, 8208, 26.2, 6.494598
7304, 8236, 26.2, 6.534424
7300, 8244, 26.2, 6.574249
7288, 8228, 26.2, 6.614410
7300, 8244, 26.2, 6.654266
7300, 8240, 26.2, 6.694305
7292, 8228, 26.2, 6.734283
7288, 8236, 26.2, 6.774322
7284, 8220, 26.2, 6.814270
7292, 8240, 26.2, 6.854278
7300, 8248, 26.2, 6.894378
7248, 8212, 26.2, 6.934448
7296, 8224, 26.2, 6.974518
7308, 8240, 26.2, 7.014312
7312, 8252, 26.2, 7.054321
7292, 8248, 26.2, 7.094269
7264, 8200, 25.5, 7.139892
7304, 8228, 25.5, 7.174255
7308, 8244, 25.5, 7.214355
7276, 8224, 25.5, 7.254364
7292, 8232, 25.5, 7.294342
7296, 8228, 25.5, 7.334228
7288, 8224, 25.5, 7.374572
7308, 8248, 25.5, 7.414245
7304, 8228, 25.5, 7.454315
7200, 8144, 25.5, 7.494476
7332, 8244, 25.5, 7.534271
7368, 8324, 25.5, 7.574402
7228, 8176, 25.5, 7.614563
7292, 8208, 25.5, 7.654327
7308, 8268, 25.5, 7.694305
7264, 8192, 25.5, 7.734344
7320, 8260, 25.5, 7.774414
7252, 8196, 25.5, 7.814514
7296, 8212, 25.5, 7.854309
7312, 8256, 25.5, 7.894317
7260, 8204, 25.5, 7.934265
7296, 8200, 25.5, 7.974457
7300, 8236, 25.5, 8.014496
7292, 8232, 25.5, 8.054291
7268, 8212, 25.5, 8.094299
7272, 8224, 26.2, 8.140014
7300, 8224, 26.2, 8.174225
7304, 8240, 26.2, 8.214264
7260, 8220, 26.2, 8.254486
7272, 8204, 26.2, 8.294281
7292, 8244, 26.2, 8.334533
7260, 8200, 26.2, 8.374328
7264, 8208, 26.2, 8.414337
7312, 8260, 26.2, 8.454284
7272, 8232, 26.2, 8.494415
7276, 8204, 26.2, 8.534332
7288, 8228, 26.2, 8.574280
7292, 8244, 26.2, 8.614227
7284, 8228, 26.2, 8.654266
7280, 8224, 26.2, 8.694244
7288, 8240, 26.2, 8.734283
7292, 8212, 26.2, 8.774566
7272, 8220, 26.2, 8.814361
7288, 8232, 26.2, 8.854339
7296, 8228, 26.2, 8.894653
7272, 8224, 26.2, 8.934387
7284, 8216, 26.2, 9.025696
7280, 8232, 26.2, 9.232940
7292, 8232, 26.2, 9.274170
7272, 8208, 26.2, 9.312866
7280, 8216, 26.1, 9.358276
7284, 8240, 26.1, 9.392883
7276, 8208, 26.1, 9.432770
7280, 8228, 26.1, 9.472656
7276, 8212, 26.1, 9.513061
7276, 8228, 26.1, 9.552765
7276, 8228, 26.1, 9.592865
7276, 8212, 26.1, 9.632934
7284, 8220, 26.1, 9.672882
7288, 8228, 26.1, 9.712890
7276, 8208, 26.1, 9.752899
7292, 8236, 26.1, 9.792694
7276, 8220, 26.1, 9.832763
7320, 8252, 26.1, 9.872772
7300, 8236, 26.1, 9.912750
7256, 8200, 26.1, 9.952697
7304, 8224, 26.1, 9.992950
7280, 8224, 26.1, 10.032715
7252, 8200, 26.1, 10.072815
7300, 8232, 26.1, 10.112701
7284, 8240, 26.1, 10.152771
7248, 8192, 26.1, 10.192779
7288, 8224, 26.1, 10.233062
7296, 8240, 26.1, 10.272888
7264, 8212, 26.1, 10.312774
7288, 8216, 26.4, 10.358276
7284, 8228, 26.4, 10.393524
7280, 8224, 26.4, 10.432922
7276, 8232, 26.4, 10.472717
7268, 8220, 26.4, 10.512787
7284, 8224, 26.4, 10.552917
7300, 8220, 26.4, 10.592834
7260, 8208, 26.4, 10.632812
7284, 8212, 26.4, 10.672760
7292, 8244, 26.4, 10.712768
7276, 8228, 26.4, 10.753021
7272, 8196, 26.4, 10.792755
7292, 8228, 26.4, 10.832733
7288, 8240, 26.4, 10.872802
7264, 8200, 26.4, 10.912750
7292, 8224, 26.4, 10.952697
7252, 8208, 26.4, 10.992859
7284, 8204, 26.4, 11.032776
7284, 8200, 26.4, 11.072784
7284, 8224, 26.4, 11.112732
7284, 8228, 26.4, 11.152984
7256, 8208, 26.4, 11.192810
7268, 8196, 26.4, 11.232696
7304, 8244, 26.4, 11.272766
7268, 8216, 26.4, 11.312774
7272, 8208, 26.2, 11.358856
7276, 8200, 26.2, 11.393402
7284, 8236, 26.2, 11.432861
7272, 8208, 26.2, 11.472870
7292, 8228, 26.2, 11.513153
7252, 8200, 26.2, 11.552795
7272, 8224, 26.2, 11.592926
7324, 8252, 26.2, 11.632812
7228, 8172, 26.2, 11.672760
7328, 8264, 26.2, 11.712768
7252, 8196, 26.2, 11.752746
7268, 8192, 26.2, 11.792694
7296, 8224, 26.2, 11.833130
7272, 8236, 26.2, 11.872863
7244, 8212, 26.2, 11.912872
