volt, time
0.063, 1468262635.095520
0.075, 1468262635.106628
0.068, 1468262635.123138
0.061, 1468262635.139984
0.085, 1468262635.156585
0.070, 1468262635.173034
0.063, 1468262635.189819
0.068, 1468262635.206451
0.065, 1468262635.223175
0.078, 1468262635.239776
0.070, 1468262635.256622
0.075, 1468262635.273254
0.068, 1468262635.289886
0.065, 1468262635.306457
0.053, 1468262635.323211
0.070, 1468262635.339874
0.075, 1468262635.356597
0.063, 1468262635.373077
0.065, 1468262635.389739
0.063, 1468262635.406524
0.061, 1468262635.423187
0.075, 1468262635.439880
0.065, 1468262635.456512
0.061, 1468262635.473175
0.070, 1468262635.489715
0.065, 1468262635.506652
0.070, 1468262635.523223
0.065, 1468262635.539825
0.073, 1468262635.556579
0.065, 1468262635.573181
0.073, 1468262635.589691
0.070, 1468262635.606658
0.068, 1468262635.623168
0.048, 1468262635.640014
0.063, 1468262635.656494
0.073, 1468262635.673217
0.068, 1468262635.689666
0.061, 1468262635.706420
0.061, 1468262635.723114
0.061, 1468262635.739654
0.068, 1468262635.756500
0.063, 1468262635.773162
0.080, 1468262635.789794
0.063, 1468262635.806396
0.061, 1468262635.823272
0.075, 1468262635.839660
0.075, 1468262635.856536
0.075, 1468262635.873229
0.065, 1468262635.889892
0.070, 1468262635.906463
0.053, 1468262635.923187
0.061, 1468262635.939697
0.068, 1468262635.956542
0.063, 1468262635.973083
0.063, 1468262635.989654
0.063, 1468262636.006591
0.061, 1468262636.023101
0.073, 1468262636.039855
0.061, 1468262636.056488
0.075, 1468262636.073303
0.070, 1468262636.089721
0.063, 1468262636.106567
0.068, 1468262636.123168
0.065, 1468262636.139892
0.080, 1468262636.156768
0.061, 1468262636.173187
0.070, 1468262636.189941
0.068, 1468262636.206542
0.061, 1468262636.223144
0.065, 1468262636.239868
0.070, 1468262636.256530
0.075, 1468262636.273193
0.073, 1468262636.289672
0.070, 1468262636.306457
0.070, 1468262636.323333
0.068, 1468262636.339691
0.078, 1468262636.356567
0.063, 1468262636.373046
0.065, 1468262636.389739
0.061, 1468262636.406463
0.068, 1468262636.423187
0.073, 1468262636.439849
0.070, 1468262636.456481
0.083, 1468262636.473083
0.070, 1468262636.489685
0.070, 1468262636.506683
0.073, 1468262636.523223
0.063, 1468262636.539855
0.080, 1468262636.556640
0.063, 1468262636.573211
0.058, 1468262636.589996
0.065, 1468262636.606658
0.063, 1468262636.623168
0.048, 1468262636.639801
0.058, 1468262636.656555
0.051, 1468262636.673126
0.070, 1468262636.689727
0.063, 1468262636.706451
0.070, 1468262636.723205
0.065, 1468262636.739868
0.070, 1468262636.756744
0.063, 1468262636.773101
0.073, 1468262636.789733
0.068, 1468262636.806732
0.068, 1468262636.823211
0.073, 1468262636.839721
0.068, 1468262636.856323
0.070, 1468262636.873138
0.065, 1468262636.889862
0.063, 1468262636.906463
0.070, 1468262636.923217
0.058, 1468262636.939819
0.073, 1468262636.956573
0.061, 1468262636.973052
0.073, 1468262636.989746
0.063, 1468262637.006530
0.065, 1468262637.023071
0.080, 1468262637.039794
0.063, 1468262637.056579
0.078, 1468262637.073150
0.070, 1468262637.089691
0.078, 1468262637.106567
0.075, 1468262637.123046
0.061, 1468262637.139862
0.095, 1468262637.156616
0.061, 1468262637.173278
0.068, 1468262637.189849
0.087, 1468262637.207672
0.063, 1468262637.251403
0.068, 1468262637.253814
0.070, 1468262637.257171
0.068, 1468262637.273315
0.061, 1468262637.289978
0.046, 1468262637.306549
0.061, 1468262637.322967
0.068, 1468262637.339813
0.058, 1468262637.356567
0.068, 1468262637.373168
0.065, 1468262637.389678
0.075, 1468262637.406494
0.065, 1468262637.423004
0.068, 1468262637.439880
0.078, 1468262637.456451
0.068, 1468262637.473052
0.068, 1468262637.489868
0.068, 1468262637.506683
0.065, 1468262637.522888
0.080, 1468262637.539825
0.058, 1468262637.556610
0.068, 1468262637.573059
0.068, 1468262637.589874
0.068, 1468262637.606658
0.063, 1468262637.623168
0.061, 1468262637.639739
0.065, 1468262637.656433
0.058, 1468262637.673156
0.051, 1468262637.689788
0.070, 1468262637.706512
0.063, 1468262637.723052
0.068, 1468262637.739746
0.065, 1468262637.756530
0.073, 1468262637.773040
0.068, 1468262637.789672
0.063, 1468262637.806427
0.073, 1468262637.822967
0.063, 1468262637.839874
0.065, 1468262637.856445
0.058, 1468262637.873046
0.075, 1468262637.889739
0.080, 1468262637.906677
0.058, 1468262637.923217
0.068, 1468262637.939971
0.065, 1468262637.956542
0.070, 1468262637.972961
0.063, 1468262637.989837
0.070, 1468262638.006622
0.070, 1468262638.023223
0.058, 1468262638.039886
0.070, 1468262638.056549
0.068, 1468262638.073181
0.078, 1468262638.089904
0.075, 1468262638.106628
0.068, 1468262638.123107
0.080, 1468262638.139984
0.065, 1468262638.156585
0.073, 1468262638.172973
0.073, 1468262638.189727
0.065, 1468262638.206451
0.083, 1468262638.223236
0.058, 1468262638.239685
0.075, 1468262638.256683
0.061, 1468262638.273345
0.080, 1468262638.290008
0.063, 1468262638.306610
0.070, 1468262638.323059
0.070, 1468262638.339721
0.068, 1468262638.356567
0.075, 1468262638.373199
0.063, 1468262638.389770
0.070, 1468262638.406707
0.075, 1468262638.423309
0.061, 1468262638.439758
0.073, 1468262638.456665
0.068, 1468262638.473205
0.051, 1468262638.489807
0.068, 1468262638.506347
0.063, 1468262638.523010
0.056, 1468262638.539794
0.065, 1468262638.556457
0.075, 1468262638.572998
0.068, 1468262638.589691
0.078, 1468262638.606567
0.070, 1468262638.623046
0.070, 1468262638.639770
0.065, 1468262638.656433
0.068, 1468262638.673034
0.087, 1468262638.689971
0.068, 1468262638.706390
0.063, 1468262638.723114
0.080, 1468262638.739868
0.061, 1468262638.756683
0.078, 1468262638.773010
0.065, 1468262638.789855
0.070, 1468262638.806518
0.073, 1468262638.823089
0.058, 1468262638.839752
0.073, 1468262638.856567
0.065, 1468262638.873077
0.073, 1468262638.889770
0.075, 1468262638.906555
0.065, 1468262638.923095
0.078, 1468262638.939971
0.063, 1468262638.956512
0.078, 1468262638.973236
0.065, 1468262638.989715
0.070, 1468262639.006500
0.065, 1468262639.023193
0.070, 1468262639.039703
0.075, 1468262639.056640
0.065, 1468262639.073059
0.083, 1468262639.089935
0.075, 1468262639.106628
0.061, 1468262639.123107
0.073, 1468262639.140014
0.065, 1468262639.156494
0.075, 1468262639.173156
0.063, 1468262639.189758
0.068, 1468262639.206481
0.075, 1468262639.223114
0.068, 1468262639.239776
0.056, 1468262639.256561
0.061, 1468262639.273254
0.080, 1468262639.289794
0.068, 1468262639.306579
0.073, 1468262639.323211
0.083, 1468262639.339813
0.068, 1468262639.356597
0.063, 1468262639.373168
0.068, 1468262639.389556
0.073, 1468262639.406524
0.065, 1468262639.423004
0.058, 1468262639.439666
0.073, 1468262639.456481
0.070, 1468262639.473175
0.083, 1468262639.489868
0.065, 1468262639.506530
0.063, 1468262639.522979
0.056, 1468262639.539855
0.065, 1468262639.556518
0.075, 1468262639.572998
0.065, 1468262639.589691
0.068, 1468262639.606414
0.075, 1468262639.622955
0.061, 1468262639.639862
0.075, 1468262639.656402
0.068, 1468262639.673126
0.053, 1468262639.689788
0.073, 1468262639.706451
0.070, 1468262639.723144
0.070, 1468262639.739837
0.058, 1468262639.756622
0.075, 1468262639.772979
0.065, 1468262639.789703
0.070, 1468262639.806457
0.070, 1468262639.822998
0.065, 1468262639.839904
0.070, 1468262639.856445
0.068, 1468262639.873077
0.065, 1468262639.889953
0.083, 1468262639.906646
0.061, 1468262639.923095
0.070, 1468262639.939697
0.061, 1468262639.956481
0.075, 1468262639.973175
0.068, 1468262639.989685
0.065, 1468262640.006439
0.056, 1468262640.023162
0.061, 1468262640.039825
0.070, 1468262640.056396
0.063, 1468262640.073089
0.080, 1468262640.089782
0.063, 1468262640.106597
0.061, 1468262640.123168
0.075, 1468262640.139892
0.063, 1468262640.156433
0.070, 1468262640.173187
0.063, 1468262640.189666
0.070, 1468262640.206420
0.075, 1468262640.223236
0.063, 1468262640.239685
0.063, 1468262640.256713
0.061, 1468262640.273101
0.058, 1468262640.289855
0.073, 1468262640.306488
0.068, 1468262640.323059
0.056, 1468262640.340209
0.061, 1468262640.356658
0.065, 1468262640.373138
0.063, 1468262640.397338
0.065, 1468262640.406951
0.063, 1468262640.425354
0.078, 1468262640.439758
0.070, 1468262640.456787
0.065, 1468262640.473632
0.095, 1468262640.489776
0.068, 1468262640.507049
0.065, 1468262640.523284
0.046, 1468262640.539794
0.065, 1468262640.556610
0.073, 1468262640.573150
0.070, 1468262640.589691
0.073, 1468262640.606597
0.065, 1468262640.623107
0.068, 1468262640.639801
0.073, 1468262640.656433
0.063, 1468262640.673187
0.058, 1468262640.689788
0.070, 1468262640.706481
0.065, 1468262640.723175
0.078, 1468262640.739807
0.061, 1468262640.756500
0.070, 1468262640.773010
0.061, 1468262640.789764
0.063, 1468262640.806579
0.075, 1468262640.823211
0.063, 1468262640.839721
0.065, 1468262640.856506
0.061, 1468262640.873199
0.075, 1468262640.889923
0.078, 1468262640.906585
0.065, 1468262640.923126
0.070, 1468262640.939910
0.065, 1468262640.956604
0.080, 1468262640.973175
0.068, 1468262640.989624
0.068, 1468262641.006469
0.078, 1468262641.023040
0.063, 1468262641.039672
0.075, 1468262641.056427
0.061, 1468262641.073089
0.051, 1468262641.089813
0.068, 1468262641.106414
0.065, 1468262641.123168
0.073, 1468262641.139892
0.065, 1468262641.156463
0.085, 1468262641.173217
0.068, 1468262641.189727
0.070, 1468262641.206451
0.070, 1468262641.223083
0.065, 1468262641.239868
0.058, 1468262641.256561
0.068, 1468262641.273101
0.080, 1468262641.290008
0.068, 1468262641.306396
0.068, 1468262641.322906
0.073, 1468262641.339691
0.063, 1468262641.356445
0.073, 1468262641.372955
0.068, 1468262641.389953
0.056, 1468262641.406555
0.070, 1468262641.423248
0.068, 1468262641.439788
0.075, 1468262641.456451
0.070, 1468262641.473083
0.078, 1468262641.489929
0.070, 1468262641.506500
0.063, 1468262641.523101
0.068, 1468262641.539825
0.063, 1468262641.556610
0.063, 1468262641.573181
0.068, 1468262641.589721
0.063, 1468262641.606689
0.075, 1468262641.623107
0.063, 1468262641.639739
0.070, 1468262641.656555
0.063, 1468262641.673095
0.083, 1468262641.690002
0.065, 1468262641.706390
0.058, 1468262641.723175
0.073, 1468262641.739685
0.063, 1468262641.756469
0.078, 1468262641.772979
0.070, 1468262641.789672
0.070, 1468262641.806396
0.073, 1468262641.822998
0.063, 1468262641.839843
0.070, 1468262641.856414
0.056, 1468262641.873168
0.075, 1468262641.889984
0.085, 1468262641.906555
0.058, 1468262641.922882
0.078, 1468262641.939941
0.070, 1468262641.956420
0.070, 1468262641.973114
0.065, 1468262641.989837
0.063, 1468262642.006439
0.051, 1468262642.023284
0.061, 1468262642.039672
0.075, 1468262642.056640
0.063, 1468262642.073242
0.068, 1468262642.089935
0.073, 1468262642.106506
0.070, 1468262642.123107
0.073, 1468262642.139923
0.063, 1468262642.156646
0.075, 1468262642.173004
0.065, 1468262642.189849
0.061, 1468262642.206634
0.068, 1468262642.223205
0.070, 1468262642.266723
0.070, 1468262642.269134
0.068, 1468262642.274414
0.075, 1468262642.291687
0.063, 1468262642.306671
0.061, 1468262642.323089
0.078, 1468262642.339935
0.065, 1468262642.356719
0.058, 1468262642.373046
0.078, 1468262642.389892
0.068, 1468262642.406463
0.078, 1468262642.423217
0.075, 1468262642.439849
0.073, 1468262642.456481
0.065, 1468262642.473236
0.063, 1468262642.489807
0.075, 1468262642.506683
0.065, 1468262642.523132
0.073, 1468262642.539825
0.070, 1468262642.556701
0.063, 1468262642.573120
0.043, 1468262642.589996
0.058, 1468262642.606445
0.075, 1468262642.623199
0.065, 1468262642.639831
0.065, 1468262642.656463
0.075, 1468262642.673248
0.058, 1468262642.689727
0.073, 1468262642.706420
0.061, 1468262642.723114
0.085, 1468262642.739807
0.070, 1468262642.756744
0.068, 1468262642.773101
0.056, 1468262642.790008
0.058, 1468262642.806549
0.075, 1468262642.822998
0.061, 1468262642.839904
0.070, 1468262642.856506
0.070, 1468262642.873107
0.061, 1468262642.889892
0.075, 1468262642.906494
0.070, 1468262642.923217
0.070, 1468262642.939849
0.051, 1468262642.956756
0.063, 1468262642.973083
0.048, 1468262642.989868
0.068, 1468262643.006500
0.068, 1468262643.023193
0.063, 1468262643.039672
0.065, 1468262643.056457
0.083, 1468262643.073211
0.065, 1468262643.089874
0.075, 1468262643.106567
0.068, 1468262643.123229
0.078, 1468262643.139953
0.068, 1468262643.156524
0.058, 1468262643.173004
0.073, 1468262643.189666
0.061, 1468262643.206481
0.075, 1468262643.223236
0.073, 1468262643.239776
0.065, 1468262643.256561
0.085, 1468262643.273284
0.061, 1468262643.289825
0.061, 1468262643.306457
0.068, 1468262643.323150
0.053, 1468262643.339904
0.073, 1468262643.356475
0.065, 1468262643.373138
0.085, 1468262643.389984
0.065, 1468262643.406494
0.070, 1468262643.423217
0.075, 1468262643.439758
0.063, 1468262643.456481
0.073, 1468262643.473052
0.061, 1468262643.489746
0.068, 1468262643.506683
0.068, 1468262643.523010
0.051, 1468262643.539886
0.068, 1468262643.556579
0.058, 1468262643.572998
0.063, 1468262643.589660
0.070, 1468262643.606597
0.070, 1468262643.623138
0.068, 1468262643.639801
0.061, 1468262643.656433
0.073, 1468262643.673187
0.058, 1468262643.689697
0.070, 1468262643.706420
0.065, 1468262643.723052
0.083, 1468262643.739990
0.070, 1468262643.756652
0.061, 1468262643.773223
0.078, 1468262643.789672
0.065, 1468262643.806427
0.073, 1468262643.823059
0.073, 1468262643.839630
0.065, 1468262643.856506
0.075, 1468262643.873168
0.058, 1468262643.889831
0.065, 1468262643.906433
0.070, 1468262643.923034
0.065, 1468262643.939666
0.073, 1468262643.956542
0.065, 1468262643.973144
0.080, 1468262643.989837
0.068, 1468262644.006469
0.075, 1468262644.023101
0.068, 1468262644.039703
0.063, 1468262644.056488
0.075, 1468262644.072998
0.063, 1468262644.089782
0.073, 1468262644.106506
0.063, 1468262644.123138
0.078, 1468262644.140014
0.068, 1468262644.156677
0.056, 1468262644.173095
0.070, 1468262644.189758
0.063, 1468262644.206604
0.075, 1468262644.223083
0.070, 1468262644.239807
0.070, 1468262644.256622
0.078, 1468262644.272979
0.065, 1468262644.289733
0.063, 1468262644.306457
0.063, 1468262644.323181
0.085, 1468262644.339813
0.070, 1468262644.356689
0.065, 1468262644.373199
0.085, 1468262644.390014
0.070, 1468262644.406585
0.075, 1468262644.423217
0.073, 1468262644.439849
0.065, 1468262644.456512
0.070, 1468262644.473297
0.070, 1468262644.489746
0.068, 1468262644.506683
0.063, 1468262644.523254
0.080, 1468262644.539978
0.063, 1468262644.556457
0.058, 1468262644.572998
0.065, 1468262644.589813
0.063, 1468262644.606628
0.078, 1468262644.622985
0.070, 1468262644.639709
0.068, 1468262644.656524
0.068, 1468262644.673278
0.058, 1468262644.689788
0.070, 1468262644.706542
0.068, 1468262644.723236
0.083, 1468262644.739837
0.075, 1468262644.756683
0.065, 1468262644.773162
0.068, 1468262644.789764
0.070, 1468262644.806457
0.075, 1468262644.822967
0.068, 1468262644.839843
0.068, 1468262644.856536
0.063, 1468262644.873016
0.070, 1468262644.889862
0.068, 1468262644.906463
0.063, 1468262644.923004
0.075, 1468262644.939636
0.075, 1468262644.956512
0.068, 1468262644.973175
0.065, 1468262644.989929
0.068, 1468262645.006561
0.080, 1468262645.023101
0.068, 1468262645.039733
0.065, 1468262645.056518
0.073, 1468262645.073120
0.058, 1468262645.089843
0.070, 1468262645.106475
0.070, 1468262645.123077
0.043, 1468262645.139953
0.075, 1468262645.156616
0.065, 1468262645.173095
0.080, 1468262645.189758
0.065, 1468262645.206451
0.068, 1468262645.223114
0.073, 1468262645.239654
0.068, 1468262645.256622
0.065, 1468262645.273223
0.063, 1468262645.289703
0.070, 1468262645.306549
0.063, 1468262645.323150
0.085, 1468262645.339843
0.065, 1468262645.356445
0.065, 1468262645.373077
0.075, 1468262645.389892
0.063, 1468262645.406555
0.078, 1468262645.423065
0.068, 1468262645.439849
0.065, 1468262645.456512
0.073, 1468262645.473236
0.058, 1468262645.489868
0.070, 1468262645.506500
0.068, 1468262645.523040
0.048, 1468262645.539855
0.075, 1468262645.556640
0.065, 1468262645.573028
0.070, 1468262645.589660
0.056, 1468262645.606628
0.075, 1468262645.623107
0.068, 1468262645.639648
0.065, 1468262645.656280
0.061, 1468262645.673156
0.063, 1468262645.689819
0.078, 1468262645.706390
0.068, 1468262645.723205
0.075, 1468262645.739898
0.070, 1468262645.756500
0.061, 1468262645.773193
0.073, 1468262645.789672
0.058, 1468262645.806518
0.075, 1468262645.823181
0.068, 1468262645.839630
0.058, 1468262645.856536
0.075, 1468262645.873107
0.068, 1468262645.889862
0.068, 1468262645.906524
0.070, 1468262645.922973
0.068, 1468262645.939636
0.075, 1468262645.956542
0.061, 1468262645.973175
0.075, 1468262645.989868
0.063, 1468262646.006622
0.080, 1468262646.023071
0.073, 1468262646.039916
0.070, 1468262646.056488
0.068, 1468262646.073181
0.063, 1468262646.089874
0.061, 1468262646.106475
0.065, 1468262646.123138
0.070, 1468262646.139801
0.073, 1468262646.156494
0.070, 1468262646.173156
0.075, 1468262646.189849
0.061, 1468262646.206481
0.070, 1468262646.223205
0.070, 1468262646.239746
0.063, 1468262646.256652
0.070, 1468262646.273101
0.065, 1468262646.289733
0.075, 1468262646.306427
0.070, 1468262646.323120
0.046, 1468262646.339965
0.070, 1468262646.356567
0.063, 1468262646.373168
0.080, 1468262646.389892
0.065, 1468262646.406555
0.070, 1468262646.422973
0.073, 1468262646.439636
0.065, 1468262646.456512
0.065, 1468262646.473083
0.058, 1468262646.489807
0.070, 1468262646.506561
0.075, 1468262646.523040
0.070, 1468262646.539978
0.073, 1468262646.556457
0.065, 1468262646.572998
0.068, 1468262646.589874
0.065, 1468262646.606567
0.083, 1468262646.623107
0.073, 1468262646.639892
0.068, 1468262646.656524
0.073, 1468262646.673217
0.068, 1468262646.689849
0.070, 1468262646.706451
0.063, 1468262646.723114
0.068, 1468262646.739837
0.078, 1468262646.756469
0.065, 1468262646.773162
0.061, 1468262646.789886
0.061, 1468262646.806488
0.075, 1468262646.823059
0.070, 1468262646.839630
0.063, 1468262646.856536
0.075, 1468262646.873077
0.065, 1468262646.889862
0.075, 1468262646.906463
0.065, 1468262646.923187
0.075, 1468262646.939758
0.070, 1468262646.956481
0.061, 1468262646.973175
0.073, 1468262646.989898
0.073, 1468262647.006500
0.068, 1468262647.023254
0.080, 1468262647.039764
0.068, 1468262647.056488
0.073, 1468262647.073211
0.073, 1468262647.089813
0.070, 1468262647.106658
0.068, 1468262647.123077
0.053, 1468262647.140014
0.070, 1468262647.156677
0.065, 1468262647.173217
0.075, 1468262647.189880
0.070, 1468262647.206481
0.073, 1468262647.223571
0.065, 1468262647.278839
0.065, 1468262647.282897
0.048, 1468262647.285644
0.075, 1468262647.290344
0.080, 1468262647.306579
0.073, 1468262647.323059
0.068, 1468262647.339874
0.080, 1468262647.356719
0.068, 1468262647.373107
0.075, 1468262647.389923
0.065, 1468262647.406402
0.073, 1468262647.423339
0.063, 1468262647.439727
0.063, 1468262647.456451
0.065, 1468262647.473022
0.065, 1468262647.489746
0.075, 1468262647.506561
0.065, 1468262647.523162
0.058, 1468262647.539733
0.068, 1468262647.556427
0.068, 1468262647.573150
0.075, 1468262647.589660
0.068, 1468262647.606414
0.070, 1468262647.623291
0.073, 1468262647.639739
0.063, 1468262647.656555
0.078, 1468262647.673248
0.063, 1468262647.689666
0.083, 1468262647.706695
0.068, 1468262647.723175
0.061, 1468262647.739746
0.078, 1468262647.756683
0.065, 1468262647.773162
0.080, 1468262647.789733
0.061, 1468262647.806610
0.070, 1468262647.823242
0.080, 1468262647.839752
0.063, 1468262647.856536
0.068, 1468262647.873016
0.061, 1468262647.889770
0.095, 1468262647.906524
0.063, 1468262647.923248
0.065, 1468262647.939636
0.068, 1468262647.956573
0.068, 1468262647.973022
0.070, 1468262647.989776
0.068, 1468262648.006500
0.056, 1468262648.023193
0.073, 1468262648.040039
0.065, 1468262648.056549
0.073, 1468262648.073242
0.065, 1468262648.089691
