volt, time
0.061, 1468261184.658386
0.080, 1468261184.661163
0.073, 1468261184.663726
0.068, 1468261184.666961
0.061, 1468261184.669372
0.061, 1468261184.671569
0.085, 1468261184.675109
0.046, 1468261184.679016
0.068, 1468261184.680725
0.070, 1468261184.682342
0.063, 1468261184.683898
0.063, 1468261184.685668
0.070, 1468261184.687225
0.070, 1468261184.688781
0.070, 1468261184.690307
0.063, 1468261184.691833
0.068, 1468261184.693359
0.063, 1468261184.695098
0.073, 1468261184.698455
0.053, 1468261184.700897
0.058, 1468261184.703216
0.058, 1468261184.706390
0.051, 1468261184.710205
0.083, 1468261184.712677
0.085, 1468261184.714569
0.073, 1468261184.718902
0.056, 1468261184.721771
0.070, 1468261184.723419
0.070, 1468261184.725219
0.068, 1468261184.726837
0.070, 1468261184.728393
0.063, 1468261184.729919
0.070, 1468261184.731414
0.073, 1468261184.732940
0.070, 1468261184.734466
0.061, 1468261184.736938
0.073, 1468261184.739837
0.075, 1468261184.742126
0.051, 1468261184.744384
0.085, 1468261184.747558
0.075, 1468261184.749908
0.080, 1468261184.752227
0.063, 1468261184.756378
0.070, 1468261184.759368
0.070, 1468261184.761047
0.063, 1468261184.762634
0.068, 1468261184.764190
0.073, 1468261184.765991
0.070, 1468261184.767547
0.063, 1468261184.769073
0.065, 1468261184.770599
0.075, 1468261184.772125
0.058, 1468261184.773651
0.061, 1468261184.775390
0.070, 1468261184.778991
0.070, 1468261184.781372
0.073, 1468261184.783691
0.078, 1468261184.786834
0.065, 1468261184.789184
0.058, 1468261184.791534
0.070, 1468261184.794555
0.070, 1468261184.797424
0.068, 1468261184.800323
0.061, 1468261184.801971
0.070, 1468261184.803527
0.075, 1468261184.805358
0.073, 1468261184.806945
0.065, 1468261184.808471
0.065, 1468261184.809997
0.068, 1468261184.811523
0.063, 1468261184.813018
0.068, 1468261184.814514
0.061, 1468261184.816925
0.046, 1468261184.819824
0.073, 1468261184.822174
0.056, 1468261184.824462
0.056, 1468261184.827636
0.056, 1468261184.829986
0.083, 1468261184.832305
0.043, 1468261184.837799
0.075, 1468261184.840911
0.068, 1468261184.842559
0.063, 1468261184.844146
0.070, 1468261184.845947
0.070, 1468261184.847503
0.061, 1468261184.849029
0.068, 1468261184.850585
0.065, 1468261184.852111
0.073, 1468261184.853607
0.068, 1468261184.855377
0.070, 1468261184.858764
0.073, 1468261184.861175
0.075, 1468261184.863586
0.085, 1468261184.866760
0.056, 1468261184.869354
0.080, 1468261184.871551
0.061, 1468261184.874481
0.083, 1468261184.878082
0.073, 1468261184.880554
0.058, 1468261184.882171
0.065, 1468261184.883728
0.063, 1468261184.885528
0.063, 1468261184.887115
0.061, 1468261184.888641
0.068, 1468261184.890167
0.068, 1468261184.891693
0.068, 1468261184.893188
0.068, 1468261184.894714
0.065, 1468261184.898284
0.051, 1468261184.900115
0.080, 1468261184.902465
0.053, 1468261184.904754
0.073, 1468261184.908050
0.085, 1468261184.910400
0.056, 1468261184.912689
0.087, 1468261184.916412
0.078, 1468261184.919860
0.063, 1468261184.921539
0.068, 1468261184.923126
0.068, 1468261184.924652
0.068, 1468261184.926483
0.061, 1468261184.928009
0.065, 1468261184.929565
0.061, 1468261184.931091
0.070, 1468261184.932617
0.068, 1468261184.934112
0.073, 1468261184.936920
0.053, 1468261184.939819
0.083, 1468261184.942169
