volt, time
0.070, 1468263235.153259
0.063, 1468263235.155517
0.068, 1468263235.157226
0.063, 1468263235.158843
0.065, 1468263235.160430
0.070, 1468263235.161956
0.063, 1468263235.165283
0.065, 1468263235.167755
0.053, 1468263235.170684
0.075, 1468263235.173065
0.078, 1468263235.175567
0.051, 1468263235.178588
0.080, 1468263235.180938
0.051, 1468263235.183227
0.085, 1468263235.187011
0.073, 1468263235.190399
0.070, 1468263235.192077
0.061, 1468263235.193664
0.068, 1468263235.195465
0.058, 1468263235.197052
0.058, 1468263235.198608
0.065, 1468263235.200134
0.070, 1468263235.201629
0.073, 1468263235.203155
0.065, 1468263235.204650
0.070, 1468263235.207672
0.051, 1468263235.210571
0.078, 1468263235.212921
0.043, 1468263235.215423
0.075, 1468263235.218383
0.080, 1468263235.220764
0.080, 1468263235.223083
0.056, 1468263235.227020
0.080, 1468263235.230407
0.068, 1468263235.232086
0.068, 1468263235.233703
0.061, 1468263235.235504
0.058, 1468263235.237091
0.061, 1468263235.238616
0.070, 1468263235.240142
0.061, 1468263235.241668
0.065, 1468263235.243194
0.070, 1468263235.244720
0.061, 1468263235.247680
0.070, 1468263235.250579
0.075, 1468263235.252929
0.068, 1468263235.255462
0.080, 1468263235.258422
0.090, 1468263235.260711
0.085, 1468263235.263061
0.058, 1468263235.266754
0.078, 1468263235.270294
0.068, 1468263235.271972
0.063, 1468263235.273559
0.061, 1468263235.275360
0.063, 1468263235.276947
0.068, 1468263235.278503
0.073, 1468263235.280029
0.068, 1468263235.281555
0.073, 1468263235.283050
0.073, 1468263235.284545
0.063, 1468263235.287536
0.046, 1468263235.292419
0.046, 1468263235.295074
0.080, 1468263235.298095
0.051, 1468263235.300476
0.085, 1468263235.302825
0.058, 1468263235.306091
0.061, 1468263235.308990
0.075, 1468263235.311889
0.065, 1468263235.313537
0.063, 1468263235.315368
0.068, 1468263235.316955
0.070, 1468263235.318481
0.065, 1468263235.320007
0.063, 1468263235.321533
0.068, 1468263235.323028
0.063, 1468263235.324584
0.061, 1468263235.326324
0.063, 1468263235.329528
0.051, 1468263235.333282
0.048, 1468263235.336425
0.053, 1468263235.338775
0.056, 1468263235.341094
0.056, 1468263235.344055
0.080, 1468263235.346618
0.073, 1468263235.348968
0.090, 1468263235.352508
0.078, 1468263235.356079
0.065, 1468263235.357788
0.065, 1468263235.359405
0.063, 1468263235.360961
0.068, 1468263235.362487
0.063, 1468263235.364013
0.061, 1468263235.365783
0.063, 1468263235.369110
0.061, 1468263235.371520
0.080, 1468263235.373291
0.048, 1468263235.377044
0.056, 1468263235.378906
0.048, 1468263235.381225
0.078, 1468263235.383544
0.048, 1468263235.387695
0.078, 1468263235.390563
0.073, 1468263235.393737
0.070, 1468263235.395599
0.065, 1468263235.397216
0.063, 1468263235.398742
0.061, 1468263235.400268
0.065, 1468263235.401794
0.063, 1468263235.403350
0.068, 1468263235.405090
0.070, 1468263235.409088
0.083, 1468263235.411529
0.075, 1468263235.413391
0.046, 1468263235.417388
0.043, 1468263235.420440
0.053, 1468263235.422729
0.053, 1468263235.425262
0.080, 1468263235.429229
0.068, 1468263235.432220
0.070, 1468263235.433898
0.068, 1468263235.435699
0.070, 1468263235.437255
0.068, 1468263235.438812
0.070, 1468263235.440338
0.058, 1468263235.441864
0.061, 1468263235.443359
0.061, 1468263235.445129
0.065, 1468263235.447204
0.039, 1468263235.450225
0.078, 1468263235.452606
0.085, 1468263235.455200
0.075, 1468263235.458221
0.085, 1468263235.460540
0.083, 1468263235.462890
0.068, 1468263235.466613
0.075, 1468263235.470001
0.073, 1468263235.471679
0.061, 1468263235.473266
0.063, 1468263235.475067
0.061, 1468263235.476684
0.058, 1468263235.478210
0.061, 1468263235.480133
0.068, 1468263235.481750
0.073, 1468263235.483306
0.073, 1468263235.485107
0.068, 1468263235.486694
0.070, 1468263235.490264
0.058, 1468263235.492584
0.080, 1468263235.495178
0.083, 1468263235.498168
0.085, 1468263235.500549
0.078, 1468263235.502807
0.080, 1468263235.506561
0.073, 1468263235.509979
