Original Header:

Name: AdcIn_Ch5
This is using channel 5 on the onboard ADC.
The first value is a voltage in mV, and the second value is a time in seconds from epoch.
!@#

CSV Header:

The voltages are now in volts.
The time is in seconds, subtracting off the startTime.
!@#
0.070, 5.126587
0.075, 5.143311
0.068, 5.159668
0.063, 5.277863
0.061, 5.279633
0.065, 5.281952
0.053, 5.284546
0.078, 5.287354
0.070, 5.290619
0.065, 5.292359
0.073, 5.294220
0.068, 5.311921
0.063, 5.328034
0.080, 5.343262
0.063, 5.359772
0.075, 5.376465
0.068, 5.393189
0.073, 5.409577
0.070, 5.426331
0.070, 5.443757
0.065, 5.459809
0.085, 5.476349
0.063, 5.493134
0.063, 5.509583
0.063, 5.526581
0.068, 5.543213
0.070, 5.559662
0.068, 5.576447
0.065, 5.593201
0.065, 5.609742
0.065, 5.626343
0.068, 5.643158
0.068, 5.659729
0.070, 5.676575
0.075, 5.693177
0.065, 5.709595
0.075, 5.726502
0.073, 5.743287
0.075, 5.759552
0.068, 5.776398
0.063, 5.793183
0.068, 5.809571
0.068, 5.826416
0.075, 5.843262
0.073, 5.859559
0.070, 5.876526
0.070, 5.893219
0.068, 5.909760
0.053, 5.926514
0.065, 5.943238
0.070, 5.959656
0.068, 5.976075
0.080, 5.993134
0.070, 6.009736
0.065, 6.026337
0.075, 6.043152
0.068, 6.059723
0.078, 6.076355
0.073, 6.093201
0.065, 6.109589
0.053, 6.126374
0.061, 6.143189
0.073, 6.159760
0.065, 6.176423
0.075, 6.193299
0.070, 6.209595
0.068, 6.226410
0.068, 6.243226
0.063, 6.259522
0.063, 6.276551
0.078, 6.293091
0.058, 6.309601
0.080, 6.326447
0.080, 6.343323
0.075, 6.359589
0.073, 6.376343
0.073, 6.393341
0.075, 6.409821
0.068, 6.426270
0.073, 6.453522
0.075, 6.459748
0.065, 6.476563
0.078, 6.493439
0.061, 6.509736
0.075, 6.526307
0.070, 6.543183
0.078, 6.559601
0.068, 6.576416
0.068, 6.593293
0.068, 6.609742
0.063, 6.626404
0.073, 6.643341
0.065, 6.659607
0.085, 6.676392
0.068, 6.693207
0.070, 6.709717
0.083, 6.726319
0.068, 6.743164
0.068, 6.759644
0.073, 6.776276
0.075, 6.793305
0.080, 6.809693
0.070, 6.826325
0.068, 6.843171
0.070, 6.859620
0.070, 6.876557
0.075, 6.893097
0.065, 6.909729
0.080, 6.926453
0.058, 6.943146
0.075, 6.959626
0.075, 6.976441
0.075, 6.993348
0.065, 7.009736
0.061, 7.026490
0.065, 7.043122
0.068, 7.059601
0.075, 7.076508
0.075, 7.093171
0.061, 7.109711
0.046, 7.126343
0.065, 7.143128
0.073, 7.159546
0.073, 7.176331
0.061, 7.193207
0.068, 7.209626
0.070, 7.226288
0.075, 7.243195
0.065, 7.259674
0.065, 7.276612
0.065, 7.293213
0.068, 7.309784
0.075, 7.326416
0.070, 7.343171
0.078, 7.359681
0.073, 7.376191
0.070, 7.393280
0.080, 7.409821
0.065, 7.426423
0.063, 7.443421
0.070, 7.459717
0.053, 7.476410
0.073, 7.493348
0.061, 7.509613
0.075, 7.526520
0.065, 7.543152
0.070, 7.559540
0.075, 7.576447
0.065, 7.593201
0.070, 7.609711
0.068, 7.626313
0.065, 7.643158
0.063, 7.659607
0.080, 7.676514
0.075, 7.693299
0.063, 7.709748
0.053, 7.726380
0.068, 7.743287
0.078, 7.759522
0.075, 7.776398
0.078, 7.793335
0.070, 7.809967
0.063, 7.826416
0.065, 7.843995
0.063, 7.859772
0.075, 7.876496
0.068, 7.893158
0.063, 7.909821
0.080, 7.926545
0.063, 7.943238
0.073, 7.959687
0.070, 7.976288
0.063, 7.993164
0.068, 8.009674
0.063, 8.026337
0.070, 8.043244
0.070, 8.059662
0.075, 8.076508
0.065, 8.093140
0.065, 8.109620
0.075, 8.126374
0.065, 8.143219
0.070, 8.159699
0.063, 8.176392
0.070, 8.193299
0.058, 8.209809
0.063, 8.226380
0.068, 8.243164
0.063, 8.259644
0.068, 8.276551
0.090, 8.293335
0.073, 8.309632
0.070, 8.326416
0.073, 8.343079
0.065, 8.359681
0.065, 8.376282
0.075, 8.393158
0.078, 8.409851
0.068, 8.426453
0.073, 8.443329
0.065, 8.459778
0.075, 8.476380
0.073, 8.493226
0.065, 8.509766
0.073, 8.526368
0.063, 8.543183
0.073, 8.559723
0.073, 8.576142
0.063, 8.593110
0.075, 8.609528
0.063, 8.626282
0.070, 8.643372
0.063, 8.659729
0.073, 8.676453
0.075, 8.693238
0.065, 8.709626
0.065, 8.726288
0.070, 8.743164
0.070, 8.759644
0.068, 8.776276
0.073, 8.793335
0.073, 8.809754
0.063, 8.826355
0.075, 8.843232
0.065, 8.859650
0.080, 8.876374
0.073, 8.893128
0.065, 8.909760
0.046, 8.926453
0.070, 8.943299
0.075, 8.959656
0.068, 8.976349
0.065, 8.993317
0.073, 9.009827
0.061, 9.026398
0.073, 9.043213
0.070, 9.059754
0.083, 9.076508
0.065, 9.093140
0.065, 9.109711
0.075, 9.126496
0.068, 9.143219
0.070, 9.159577
0.073, 9.176209
0.075, 9.193238
0.073, 9.209717
0.068, 9.226288
0.078, 9.243226
0.068, 9.259644
0.075, 9.276337
0.075, 9.293091
0.065, 9.309784
0.073, 9.326264
0.073, 9.343110
0.075, 9.359681
0.075, 9.376282
0.078, 9.393311
0.085, 9.409668
0.068, 9.426300
0.070, 9.443695
0.065, 9.459626
0.083, 9.476319
0.070, 9.493164
0.070, 9.509674
0.051, 9.526490
0.061, 9.543305
0.070, 9.559815
0.075, 9.576416
0.068, 9.593293
0.073, 9.609833
0.063, 9.626221
0.075, 9.643219
0.065, 9.659729
0.073, 9.676453
0.075, 9.693360
0.068, 9.709748
0.087, 9.726563
0.063, 9.743317
0.073, 9.759766
0.073, 9.776246
0.065, 9.793335
