Original Header:

Name: AdcIn_Ch5
This is using channel 5 on the onboard ADC.
The first value is a voltage in mV, and the second value is a time in seconds from epoch.
!@#

CSV Header:

The voltages are now in volts.
The time is in seconds, subtracting off the startTime.
!@#
0.061, 144.643341
0.063, 144.659760
0.070, 144.676514
0.065, 144.693116
0.078, 144.709809
0.073, 144.726288
0.068, 144.743134
0.078, 144.759827
0.068, 144.776276
0.070, 144.793244
0.073, 144.809632
0.068, 144.826325
0.070, 144.843140
0.063, 144.859772
0.068, 144.876221
0.063, 144.893128
0.065, 144.909638
0.058, 144.926423
0.061, 144.943177
0.075, 144.959809
0.058, 144.976227
0.075, 144.993256
0.061, 145.009736
0.065, 145.026215
0.073, 145.043244
0.065, 145.059815
0.070, 145.076294
0.065, 145.093201
0.065, 145.109864
0.068, 145.126252
0.070, 145.143097
0.078, 145.159943
0.068, 145.176453
0.075, 145.193116
0.063, 145.209534
0.070, 145.226227
0.068, 145.243226
0.065, 145.259736
0.063, 145.297760
0.065, 145.300080
0.061, 145.310730
0.073, 145.326294
0.070, 145.343110
0.058, 145.359833
0.061, 145.376313
0.075, 145.393372
0.073, 145.409851
0.061, 145.426270
0.073, 145.443421
0.068, 145.459778
0.063, 145.476227
0.065, 145.493226
0.075, 145.509797
0.073, 145.526337
0.065, 145.543091
0.048, 145.559876
0.058, 145.576447
0.073, 145.593384
0.065, 145.609559
0.061, 145.626221
0.068, 145.643311
0.063, 145.659760
0.058, 145.676331
0.061, 145.693116
0.068, 145.709870
0.068, 145.726441
0.065, 145.743103
0.070, 145.759888
0.065, 145.776368
0.068, 145.793213
0.073, 145.809815
0.063, 145.826233
0.063, 145.843171
0.065, 145.859681
0.070, 145.876465
0.063, 145.893311
0.078, 145.909699
0.065, 145.926514
0.058, 145.943268
0.080, 145.959809
0.063, 145.976471
0.075, 145.993317
0.070, 146.009766
0.073, 146.026307
0.070, 146.043091
0.068, 146.059754
0.070, 146.076508
0.070, 146.093293
0.075, 146.109803
0.073, 146.126526
0.065, 146.143158
0.075, 146.159821
0.065, 146.176362
0.068, 146.193207
0.070, 146.209656
0.065, 146.226227
0.075, 146.243195
0.070, 146.259613
0.073, 146.276307
0.065, 146.293183
0.065, 146.309754
0.056, 146.326355
0.063, 146.343201
0.073, 146.359864
0.065, 146.376221
0.068, 146.393219
0.070, 146.409485
0.065, 146.426209
0.068, 146.443421
0.065, 146.459656
0.063, 146.476563
0.070, 146.493103
0.073, 146.509797
0.063, 146.526490
0.065, 146.543152
0.083, 146.559754
0.068, 146.576264
0.073, 146.593201
0.070, 146.609497
0.065, 146.626221
0.080, 146.643250
0.065, 146.659668
0.073, 146.676362
0.063, 146.693177
0.075, 146.709809
0.070, 146.726319
0.068, 146.743103
0.073, 146.759827
0.063, 146.776307
0.070, 146.793335
0.068, 146.809815
0.070, 146.826508
0.078, 146.843110
0.061, 146.859620
0.063, 146.876374
0.070, 146.893250
0.068, 146.909821
0.070, 146.926575
0.068, 146.943238
0.073, 146.959687
0.065, 146.976410
0.080, 146.993195
0.073, 147.009613
0.063, 147.026246
0.075, 147.043183
0.058, 147.059662
0.070, 147.076569
0.063, 147.093232
0.073, 147.109864
0.073, 147.126313
0.068, 147.143189
0.070, 147.159790
0.061, 147.176239
0.068, 147.193116
0.073, 147.209717
0.068, 147.226319
0.073, 147.243164
0.061, 147.259705
0.065, 147.276368
0.063, 147.293091
0.068, 147.309662
0.061, 147.326508
0.065, 147.343201
0.075, 147.359772
0.068, 147.376343
0.073, 147.393311
0.063, 147.409516
0.075, 147.426300
0.070, 147.443451
0.063, 147.459778
0.075, 147.476532
0.068, 147.493164
0.075, 147.509766
0.070, 147.526490
0.068, 147.543061
0.083, 147.559754
0.068, 147.576447
0.075, 147.593140
0.075, 147.609620
0.061, 147.626343
0.080, 147.643189
0.058, 147.659699
0.070, 147.676514
0.070, 147.693207
0.078, 147.709870
0.068, 147.726502
0.058, 147.743134
0.073, 147.759552
0.070, 147.776398
0.068, 147.793122
0.073, 147.809540
0.073, 147.826294
0.063, 147.843293
0.061, 147.859620
0.063, 147.877778
0.065, 147.893128
0.070, 147.909699
0.075, 147.926239
0.061, 147.943207
0.078, 147.959717
0.063, 147.976380
0.068, 147.993164
0.068, 148.009552
0.063, 148.026337
0.075, 148.043244
0.061, 148.059662
0.065, 148.076508
0.070, 148.093171
0.075, 148.109803
0.075, 148.126343
0.065, 148.143128
0.085, 148.159821
0.065, 148.176453
0.073, 148.193207
0.073, 148.209748
0.061, 148.226441
0.073, 148.243226
0.058, 148.259736
0.075, 148.276337
0.063, 148.293183
0.065, 148.309632
0.063, 148.326294
0.070, 148.343140
0.078, 148.359864
0.068, 148.376313
0.068, 148.393158
0.073, 148.409577
0.070, 148.426331
0.068, 148.443299
0.070, 148.459626
0.068, 148.476258
0.058, 148.493134
0.078, 148.509797
0.073, 148.526520
0.058, 148.543213
0.075, 148.559845
0.065, 148.576477
0.065, 148.593293
0.063, 148.609650
0.065, 148.626404
0.056, 148.643250
0.063, 148.659729
0.068, 148.676239
0.065, 148.693329
0.070, 148.709748
0.070, 148.726349
0.058, 148.743073
0.075, 148.759613
0.063, 148.776246
0.075, 148.793152
0.075, 148.809479
0.063, 148.826233
0.070, 148.843232
0.070, 148.859711
0.073, 148.877594
0.065, 148.893097
0.073, 148.909821
0.065, 148.926484
0.065, 148.943177
0.068, 148.959565
0.068, 148.976258
0.070, 148.993103
0.068, 149.009613
0.068, 149.026215
0.078, 149.043183
0.063, 149.059754
0.073, 149.076386
0.061, 149.093171
0.075, 149.109833
0.068, 149.127533
0.061, 149.143189
0.087, 149.159821
0.065, 149.176392
0.068, 149.193116
0.075, 149.209687
0.063, 149.226197
0.068, 149.243134
0.058, 149.259644
0.063, 149.276246
0.061, 149.293213
0.070, 149.309632
0.070, 149.326264
0.063, 149.343140
0.080, 149.359772
0.065, 149.377686
0.073, 149.393311
0.073, 149.409577
0.065, 149.426239
0.068, 149.443390
0.070, 149.459748
0.075, 149.476349
0.068, 149.493226
0.078, 149.509827
0.068, 149.526429
0.065, 149.543183
0.056, 149.559723
0.058, 149.576447
0.073, 149.593323
0.058, 149.609833
0.065, 149.627716
0.043, 149.643250
0.070, 149.659638
0.065, 149.676300
0.070, 149.693207
0.070, 149.709748
0.065, 149.726288
0.061, 149.743195
0.073, 149.759583
0.063, 149.776276
0.070, 149.793366
0.070, 149.809632
0.065, 149.826325
0.073, 149.843110
0.063, 149.859772
0.070, 149.877655
0.063, 149.893311
0.070, 149.909699
0.073, 149.926300
0.058, 149.943177
0.078, 149.959595
0.058, 149.976441
0.075, 149.993256
0.063, 150.009797
0.070, 150.026337
0.075, 150.043122
0.065, 150.059723
0.065, 150.076294
0.061, 150.093201
0.083, 150.109742
0.075, 150.127747
0.068, 150.143250
0.053, 150.159668
0.065, 150.176484
0.068, 150.193177
0.063, 150.209473
0.061, 150.226197
0.080, 150.243195
0.061, 150.259766
0.063, 150.293183
0.070, 150.295929
0.063, 150.309723
0.078, 150.326416
0.070, 150.343262
0.068, 150.359528
0.073, 150.377655
0.070, 150.393097
0.073, 150.409668
0.070, 150.426453
0.085, 150.443482
0.075, 150.459687
0.061, 150.476258
0.090, 150.493348
0.061, 150.509674
0.073, 150.526490
0.063, 150.543122
0.068, 150.559815
0.063, 150.576294
0.056, 150.593262
0.073, 150.609772
0.061, 150.627778
0.061, 150.643250
0.068, 150.659668
0.063, 150.676270
0.085, 150.693207
0.070, 150.709687
0.080, 150.726349
0.068, 150.743164
0.065, 150.759552
0.063, 150.776459
0.065, 150.793305
0.075, 150.809845
0.065, 150.826325
0.078, 150.843232
0.061, 150.859589
0.068, 150.877533
0.073, 150.893067
0.065, 150.909577
0.078, 150.926484
0.068, 150.943299
0.070, 150.959748
0.070, 150.976349
0.061, 150.993287
0.070, 151.009552
0.061, 151.026368
0.083, 151.043213
0.068, 151.059723
0.061, 151.076233
0.080, 151.093201
0.068, 151.109711
0.078, 151.127747
0.058, 151.143219
0.075, 151.159638
0.073, 151.176514
0.065, 151.193207
0.048, 151.209839
0.063, 151.226319
0.046, 151.243317
0.075, 151.259552
0.061, 151.276246
0.083, 151.293335
0.058, 151.309632
0.056, 151.326416
0.063, 151.343323
0.068, 151.359772
0.078, 151.377716
0.061, 151.393372
0.070, 151.409607
0.061, 151.426362
0.083, 151.443665
0.075, 151.459595
0.070, 151.476288
0.075, 151.493256
0.061, 151.509705
0.075, 151.526520
0.063, 151.543122
0.051, 151.559693
0.070, 151.576416
0.065, 151.593323
0.068, 151.609803
0.068, 151.627747
0.073, 151.643433
0.073, 151.659668
0.068, 151.676239
0.053, 151.693238
0.068, 151.709626
0.085, 151.726349
0.063, 151.743134
0.070, 151.759613
0.073, 151.776215
0.065, 151.793183
0.078, 151.809662
0.068, 151.826233
0.075, 151.843262
0.070, 151.859528
0.065, 151.877564
0.078, 151.893250
0.058, 151.909729
0.070, 151.926545
0.068, 151.943146
0.046, 151.959809
0.075, 151.976288
0.061, 151.993195
0.070, 152.009552
0.063, 152.026429
0.070, 152.043305
0.063, 152.059571
0.070, 152.076233
0.061, 152.093323
0.056, 152.109620
0.070, 152.127716
0.070, 152.143250
0.075, 152.159607
0.063, 152.176453
0.068, 152.193268
0.075, 152.209748
0.058, 152.226258
0.083, 152.243256
0.063, 152.259766
0.068, 152.276246
0.083, 152.293366
0.061, 152.309662
0.068, 152.326600
0.058, 152.343110
0.068, 152.359803
0.075, 152.377808
0.070, 152.393280
0.085, 152.409729
0.068, 152.426300
0.063, 152.443421
0.070, 152.459595
0.063, 152.476288
0.085, 152.493348
0.070, 152.509644
0.070, 152.526459
0.063, 152.543305
0.065, 152.559784
0.063, 152.576172
0.063, 152.593293
0.078, 152.609803
0.058, 152.627839
0.075, 152.643433
0.075, 152.659546
0.065, 152.676300
0.090, 152.693207
0.073, 152.709565
0.080, 152.726593
0.068, 152.743195
0.073, 152.759797
0.073, 152.776368
0.063, 152.793122
0.083, 152.809845
0.065, 152.826416
0.092, 152.843384
0.061, 152.859559
0.061, 152.877533
0.068, 152.893128
0.065, 152.909607
0.080, 152.926575
0.061, 152.943238
0.075, 152.959748
0.070, 152.976319
0.065, 152.993226
0.070, 153.009736
0.073, 153.026398
0.085, 153.043213
0.068, 153.059601
0.065, 153.076294
0.061, 153.093415
0.068, 153.109742
0.075, 153.127655
0.068, 153.143189
0.068, 153.159516
0.073, 153.176270
0.063, 153.193299
0.053, 153.209748
0.065, 153.226319
0.083, 153.243287
0.070, 153.259736
0.065, 153.276246
0.080, 153.293244
0.065, 153.309723
0.073, 153.326569
0.073, 153.343232
0.068, 153.359589
0.063, 153.377930
0.063, 153.393158
0.056, 153.409851
0.063, 153.426423
0.078, 153.444764
0.061, 153.459656
0.058, 153.476258
0.056, 153.493164
0.065, 153.509674
0.083, 153.526337
0.063, 153.543274
0.063, 153.559693
0.068, 153.576447
0.068, 153.593262
0.075, 153.609742
0.063, 153.627930
0.080, 153.643250
0.075, 153.659668
0.068, 153.676270
0.070, 153.693085
0.070, 153.709626
0.083, 153.726380
0.058, 153.743195
0.075, 153.759552
0.073, 153.776368
0.061, 153.793152
0.085, 153.809784
0.061, 153.826325
0.087, 153.843232
0.065, 153.859681
0.068, 153.877686
0.068, 153.893097
0.061, 153.909699
0.083, 153.926514
0.061, 153.943146
0.065, 153.959595
0.065, 153.976227
0.056, 153.993287
0.058, 154.009827
0.070, 154.026276
0.087, 154.043213
0.063, 154.059723
0.061, 154.076233
0.075, 154.093110
0.063, 154.109742
0.065, 154.127747
0.058, 154.143128
0.083, 154.159607
0.070, 154.176362
0.058, 154.193207
0.078, 154.209900
0.065, 154.226349
0.070, 154.243317
0.063, 154.259522
0.061, 154.276246
0.048, 154.293183
0.065, 154.309693
0.070, 154.326539
0.068, 154.343171
0.070, 154.359620
0.065, 154.377655
0.063, 154.393250
0.065, 154.409882
0.070, 154.426484
0.087, 154.443421
0.073, 154.459534
0.073, 154.476227
0.061, 154.493226
0.065, 154.509705
0.075, 154.526398
0.070, 154.543183
0.073, 154.559540
0.068, 154.576386
0.061, 154.593323
0.056, 154.609681
0.065, 154.627930
0.083, 154.643311
0.068, 154.659546
0.070, 154.676270
0.075, 154.693116
0.063, 154.709778
0.080, 154.726410
0.063, 154.743195
0.075, 154.759674
0.073, 154.776459
0.068, 154.793335
0.083, 154.809845
0.065, 154.826325
0.078, 154.843262
0.063, 154.859589
0.063, 154.877686
0.078, 154.893219
0.061, 154.909546
0.085, 154.926545
0.063, 154.943238
0.075, 154.959626
0.063, 154.976258
0.063, 154.993164
0.075, 155.009613
0.058, 155.026459
0.061, 155.043427
0.065, 155.059632
0.061, 155.076264
0.061, 155.093232
0.061, 155.109589
0.070, 155.127839
0.068, 155.143128
0.046, 155.159882
0.075, 155.176453
0.068, 155.193116
0.078, 155.209870
0.065, 155.226410
0.063, 155.243256
0.063, 155.259827
0.070, 155.342377
0.065, 155.344941
0.063, 155.349030
0.075, 155.353058
0.070, 155.356110
0.073, 155.359559
0.070, 155.377625
0.065, 155.393311
0.075, 155.409638
0.058, 155.426453
0.068, 155.443634
0.087, 155.459687
0.080, 155.476563
0.075, 155.493073
0.063, 155.509705
0.070, 155.526215
0.068, 155.543244
0.083, 155.559815
0.073, 155.576233
0.065, 155.593110
0.075, 155.609772
0.070, 155.627900
0.075, 155.643097
0.063, 155.659577
0.070, 155.676453
0.078, 155.693268
0.063, 155.709626
0.068, 155.726502
0.061, 155.743164
0.058, 155.759888
0.065, 155.776307
0.068, 155.793305
0.075, 155.809845
0.068, 155.826477
0.075, 155.843201
0.063, 155.859681
0.092, 155.877076
0.080, 155.893250
0.070, 155.909699
0.068, 155.926545
0.065, 155.943238
0.075, 155.959870
0.068, 155.976410
0.063, 155.993103
0.051, 156.009766
0.068, 156.026276
0.080, 156.043152
0.073, 156.059601
0.068, 156.076477
0.065, 156.093110
0.063, 156.109711
0.061, 156.127655
0.063, 156.143250
0.087, 156.159760
0.068, 156.176239
0.063, 156.192963
0.075, 156.209748
0.063, 156.226258
0.070, 156.243073
0.070, 156.259461
0.065, 156.276368
0.073, 156.293061
0.070, 156.309632
0.070, 156.326233
0.061, 156.343171
0.048, 156.359711
0.061, 156.377564
0.061, 156.393097
0.075, 156.409882
0.070, 156.426453
0.075, 156.443360
0.075, 156.459809
0.065, 156.476441
0.075, 156.493226
0.061, 156.509827
0.070, 156.526215
0.061, 156.543183
0.053, 156.559693
0.070, 156.576508
0.070, 156.593140
0.073, 156.609742
0.063, 156.627625
0.068, 156.643280
0.068, 156.659699
0.051, 156.676392
0.075, 156.693299
0.058, 156.709626
0.073, 156.726471
0.063, 156.743226
0.073, 156.759674
0.070, 156.776490
0.061, 156.793122
0.083, 156.809784
0.065, 156.826386
0.065, 156.843140
0.063, 156.859711
0.065, 156.877564
0.068, 156.893219
0.068, 156.909699
0.075, 156.926362
0.065, 156.943116
0.080, 156.959870
0.068, 156.976441
0.070, 156.993256
0.070, 157.009644
0.063, 157.026246
0.075, 157.043122
0.070, 157.059601
0.056, 157.076508
0.075, 157.093201
0.061, 157.109742
0.068, 157.127747
0.061, 157.143219
0.051, 157.159668
0.073, 157.176453
0.063, 157.193116
0.085, 157.209809
0.058, 157.226288
0.078, 157.243103
0.063, 157.259461
0.070, 157.276459
0.075, 157.293183
0.070, 157.309662
0.075, 157.326294
0.065, 157.343232
0.063, 157.359864
0.073, 157.377442
0.061, 157.393128
0.075, 157.409668
0.065, 157.426423
0.070, 157.443543
0.075, 157.459748
0.078, 157.476441
0.075, 157.493195
0.068, 157.509644
0.073, 157.526215
0.068, 157.543183
0.087, 157.559723
0.075, 157.576203
0.068, 157.593293
0.080, 157.609650
0.070, 157.627381
0.070, 157.643311
0.061, 157.659790
0.063, 157.676545
0.075, 157.693329
0.068, 157.709748
0.075, 157.726227
0.065, 157.743287
0.087, 157.759827
0.078, 157.776185
0.068, 157.793122
0.058, 157.809845
0.058, 157.826325
0.073, 157.843110
0.065, 157.859742
0.063, 157.877503
0.085, 157.893403
0.063, 157.909546
0.068, 157.926423
0.063, 157.943177
0.075, 157.959809
0.073, 157.976258
0.058, 157.993103
0.051, 158.009674
0.068, 158.026215
0.073, 158.043122
0.063, 158.059601
0.068, 158.076294
0.075, 158.093201
0.068, 158.109681
0.073, 158.127564
0.065, 158.143158
0.085, 158.159729
0.070, 158.176453
0.073, 158.193268
0.078, 158.209839
0.065, 158.226349
0.070, 158.243134
0.075, 158.259674
0.070, 158.276368
0.073, 158.293335
0.065, 158.309754
0.075, 158.326477
0.061, 158.343110
0.051, 158.359650
0.065, 158.377411
0.063, 158.393036
0.075, 158.409790
0.063, 158.426423
0.073, 158.443329
0.085, 158.459717
0.065, 158.476410
0.073, 158.493134
0.063, 158.509766
0.048, 158.526459
0.063, 158.543183
0.073, 158.559754
0.068, 158.576325
0.068, 158.593201
0.075, 158.609833
0.063, 158.627411
0.073, 158.643097
0.063, 158.659546
0.070, 158.676453
0.068, 158.693177
0.063, 158.709687
0.075, 158.726410
0.063, 158.743134
0.073, 158.759888
0.073, 158.776215
0.061, 158.793091
0.073, 158.809845
0.063, 158.826447
0.078, 158.843232
0.065, 158.859559
0.068, 158.877472
0.068, 158.893219
0.063, 158.909760
0.075, 158.926300
0.065, 158.943177
0.080, 158.959778
0.068, 158.976288
0.061, 158.993164
0.085, 159.009797
0.068, 159.026398
0.073, 159.043091
0.070, 159.059571
0.073, 159.076508
0.075, 159.093201
0.061, 159.109742
0.068, 159.127503
0.065, 159.143219
0.083, 159.159699
0.068, 159.176514
0.065, 159.193238
0.073, 159.209839
0.063, 159.226319
0.075, 159.243073
0.068, 159.259522
0.063, 159.276459
0.078, 159.293152
0.065, 159.309784
0.070, 159.326477
0.065, 159.343140
0.075, 159.359833
0.061, 159.377198
0.063, 159.393219
0.080, 159.409729
0.065, 159.426423
0.070, 159.443512
0.073, 159.459748
0.078, 159.476410
0.070, 159.493378
0.070, 159.509797
0.068, 159.526337
0.070, 159.543152
0.056, 159.559693
0.068, 159.576477
0.065, 159.593171
0.085, 159.609803
0.063, 159.627076
0.070, 159.643189
0.065, 159.659546
0.053, 159.676423
0.065, 159.693177
0.065, 159.709717
0.056, 159.726563
0.065, 159.743134
0.056, 159.759705
0.065, 159.776429
0.061, 159.793122
0.080, 159.809815
0.065, 159.826477
0.073, 159.843201
0.065, 159.859864
0.058, 159.877381
0.083, 159.893250
0.063, 159.909668
0.080, 159.926331
0.061, 159.943268
0.070, 159.959900
0.073, 159.976288
0.063, 159.993103
0.085, 160.009766
0.058, 160.026337
0.075, 160.043183
0.070, 160.059845
0.070, 160.076355
0.068, 160.093232
0.061, 160.109742
0.073, 160.126526
0.065, 160.143128
0.087, 160.159729
0.073, 160.176331
0.063, 160.193146
0.075, 160.209717
0.065, 160.226349
0.080, 160.243103
0.063, 160.260010
0.061, 160.328827
0.073, 160.330628
0.068, 160.333619
0.065, 160.336579
0.068, 160.344941
0.070, 160.359803
0.068, 160.376801
0.065, 160.393097
0.070, 160.409607
0.043, 160.426453
0.083, 160.443329
0.065, 160.459748
0.070, 160.476349
0.068, 160.493195
0.065, 160.509827
0.051, 160.526398
0.061, 160.543183
0.083, 160.559876
0.068, 160.576233
0.073, 160.593171
0.065, 160.609742
0.070, 160.627137
0.058, 160.643189
0.068, 160.659577
0.065, 160.676362
0.063, 160.693146
0.061, 160.709839
0.065, 160.726349
0.058, 160.743195
0.075, 160.759552
0.068, 160.776490
0.085, 160.793213
0.075, 160.809571
0.065, 160.826508
0.083, 160.843201
0.065, 160.859589
0.063, 160.877198
0.058, 160.893189
0.080, 160.909790
0.070, 160.926423
0.068, 160.943207
0.075, 160.959717
0.068, 160.976258
0.075, 160.993195
0.070, 161.009674
0.078, 161.026276
0.068, 161.043152
0.063, 161.059723
0.056, 161.076447
0.058, 161.093201
0.075, 161.109803
0.061, 161.127015
0.058, 161.143219
0.075, 161.159790
0.070, 161.176239
0.070, 161.193116
0.070, 161.209778
0.061, 161.226532
0.070, 161.243164
0.061, 161.259766
0.073, 161.276429
0.063, 161.293244
0.078, 161.309723
0.065, 161.326416
0.065, 161.343171
0.070, 161.359772
0.065, 161.377259
0.065, 161.393067
0.070, 161.409699
0.046, 161.426392
0.068, 161.443451
0.065, 161.459778
0.068, 161.476532
0.068, 161.493317
0.070, 161.509522
0.078, 161.526337
0.061, 161.543152
0.075, 161.559876
0.065, 161.576233
0.075, 161.593110
0.061, 161.609742
0.058, 161.627259
0.090, 161.643372
0.068, 161.659668
0.075, 161.676484
0.068, 161.693146
0.075, 161.709870
0.075, 161.726441
0.068, 161.743256
0.070, 161.759583
0.063, 161.776337
0.073, 161.793122
0.058, 161.809754
0.073, 161.826447
0.065, 161.843171
0.063, 161.859742
0.075, 161.877106
0.065, 161.893158
0.080, 161.909790
0.073, 161.926484
0.068, 161.943238
0.075, 161.959870
0.063, 161.976258
0.073, 161.993164
0.070, 162.009736
0.068, 162.026490
0.075, 162.043122
0.065, 162.059662
0.073, 162.076355
0.063, 162.093293
0.051, 162.109681
0.068, 162.127015
0.061, 162.143219
0.080, 162.159760
0.058, 162.176392
0.068, 162.193116
0.070, 162.209565
0.075, 162.226471
0.073, 162.243134
0.068, 162.259674
0.070, 162.276215
0.061, 162.293305
0.070, 162.309876
0.073, 162.326233
0.070, 162.343201
0.070, 162.359772
0.063, 162.377167
0.070, 162.393097
0.068, 162.409577
0.063, 162.426362
0.070, 162.443482
0.058, 162.459778
0.070, 162.476532
0.068, 162.493164
0.073, 162.509522
0.075, 162.526276
0.070, 162.543152
0.083, 162.559784
0.061, 162.576355
0.078, 162.593140
0.070, 162.609559
0.065, 162.626831
0.087, 162.643311
0.063, 162.659729
0.051, 162.676514
0.068, 162.693207
0.078, 162.709839
0.078, 162.726441
0.058, 162.743103
0.070, 162.759705
0.068, 162.776337
0.075, 162.793305
0.070, 162.809601
0.068, 162.826477
0.068, 162.843201
0.070, 162.859681
0.073, 162.876740
0.058, 162.893189
0.075, 162.909577
0.065, 162.926239
0.063, 162.943116
0.078, 162.959778
0.070, 162.976441
0.073, 162.993103
0.063, 163.009797
0.078, 163.026429
0.063, 163.043213
0.068, 163.059754
0.070, 163.076355
0.070, 163.093323
0.080, 163.109681
0.065, 163.126862
0.065, 163.143158
0.073, 163.159821
0.070, 163.176331
0.073, 163.193177
0.070, 163.209656
0.068, 163.226502
0.083, 163.243164
0.065, 163.259766
0.070, 163.276215
0.061, 163.293305
0.078, 163.309906
0.070, 163.326355
0.063, 163.343232
0.083, 163.359711
0.061, 163.376801
0.070, 163.393250
0.063, 163.409638
0.063, 163.426484
0.073, 163.443512
0.061, 163.459687
0.075, 163.476471
0.063, 163.493287
0.078, 163.509613
0.080, 163.526459
0.061, 163.543000
0.075, 163.559754
0.068, 163.576233
0.080, 163.593262
0.073, 163.609620
0.068, 163.626557
0.063, 163.643219
0.065, 163.659699
0.075, 163.676514
0.065, 163.693177
0.083, 163.709778
0.070, 163.726197
0.063, 163.743226
0.075, 163.759644
0.065, 163.776215
0.075, 163.793183
0.063, 163.809815
0.065, 163.826477
0.068, 163.843110
0.068, 163.859620
0.075, 163.876252
0.068, 163.893189
0.058, 163.909790
0.065, 163.926423
0.065, 163.943177
0.075, 163.959687
0.063, 163.976441
0.080, 163.993134
0.065, 164.009674
0.073, 164.026215
0.068, 164.043274
0.058, 164.059693
0.070, 164.076325
0.063, 164.093201
0.080, 164.109833
0.065, 164.126893
0.068, 164.143128
0.080, 164.159729
0.061, 164.176453
0.070, 164.193116
0.063, 164.209748
0.070, 164.226563
0.073, 164.243256
0.061, 164.259827
0.078, 164.276520
0.070, 164.293183
0.073, 164.309876
0.073, 164.326233
0.070, 164.343110
0.078, 164.359772
0.065, 164.376709
0.073, 164.393128
0.065, 164.409607
0.070, 164.426484
0.073, 164.443543
0.058, 164.459595
0.065, 164.476319
0.063, 164.493195
0.075, 164.509583
0.070, 164.526429
0.068, 164.543244
0.090, 164.559876
0.065, 164.576447
0.065, 164.593201
0.068, 164.609711
0.065, 164.626526
0.063, 164.644104
0.070, 164.659668
0.065, 164.676392
0.063, 164.693299
0.073, 164.709748
0.075, 164.726288
0.070, 164.743164
0.068, 164.759583
0.068, 164.776459
0.075, 164.793122
0.068, 164.809845
0.075, 164.826539
0.070, 164.843171
0.068, 164.859742
0.070, 164.876282
0.061, 164.893128
0.075, 164.909851
0.065, 164.926209
0.065, 164.943177
0.078, 164.959839
0.063, 164.976441
0.078, 164.993195
0.070, 165.009705
0.078, 165.026459
0.065, 165.043305
0.065, 165.059693
0.070, 165.076233
0.073, 165.093110
0.075, 165.109833
0.063, 165.126526
0.061, 165.143097
0.075, 165.159821
0.068, 165.176270
0.063, 165.193451
0.065, 165.209626
0.051, 165.226349
0.073, 165.243103
0.070, 165.259705
0.073, 165.335450
0.061, 165.337250
0.068, 165.339631
0.046, 165.341370
0.053, 165.344361
0.073, 165.359620
0.065, 165.376313
0.061, 165.393219
0.065, 165.409729
0.073, 165.426300
0.070, 165.443451
0.073, 165.459870
0.063, 165.476380
0.078, 165.493256
0.065, 165.509644
0.051, 165.526368
0.065, 165.543213
0.070, 165.559632
0.085, 165.576447
0.065, 165.593110
0.080, 165.609803
0.063, 165.626343
0.065, 165.643097
0.075, 165.659821
0.065, 165.676362
0.073, 165.693299
0.065, 165.709717
0.051, 165.726471
0.070, 165.743103
0.070, 165.759797
0.075, 165.776276
0.061, 165.793213
0.090, 165.809845
0.068, 165.826447
0.073, 165.843140
0.075, 165.859589
0.063, 165.876282
0.073, 165.893341
0.070, 165.909607
0.058, 165.926392
0.073, 165.943177
0.075, 165.959626
0.068, 165.976288
0.061, 165.993134
0.073, 166.009552
0.068, 166.026368
0.073, 166.043152
0.075, 166.059815
0.065, 166.076264
0.085, 166.093262
0.063, 166.109589
0.068, 166.126343
0.068, 166.143219
0.075, 166.159638
0.068, 166.176423
0.063, 166.193116
0.085, 166.209870
0.065, 166.226349
0.070, 166.243134
0.078, 166.259552
0.061, 166.276398
0.068, 166.293213
0.061, 166.309784
0.075, 166.326233
0.063, 166.343110
0.070, 166.359650
0.070, 166.376404
0.068, 166.393189
0.063, 166.409760
0.063, 166.426453
0.078, 166.443299
0.065, 166.459839
0.063, 166.476349
0.080, 166.493226
0.063, 166.509797
0.061, 166.526337
0.065, 166.543000
0.065, 166.559632
0.078, 166.576447
0.063, 166.593079
0.063, 166.609894
0.073, 166.626374
0.070, 166.643158
0.068, 166.659729
0.063, 166.676362
0.075, 166.693299
0.068, 166.709656
0.068, 166.726258
0.070, 166.743348
0.075, 166.759705
0.061, 166.776429
0.068, 166.793122
0.083, 166.809815
0.065, 166.826477
0.078, 166.843171
0.075, 166.859650
0.061, 166.876282
0.075, 166.893464
0.068, 166.909790
0.068, 166.926331
0.068, 166.943268
0.068, 166.959626
0.068, 166.976258
0.065, 166.993195
0.080, 167.009613
0.068, 167.026429
0.065, 167.043122
0.075, 167.059876
0.061, 167.076325
0.078, 167.093293
0.065, 167.109681
0.070, 167.126282
0.073, 167.143219
0.063, 167.159638
0.075, 167.176392
0.068, 167.193146
0.058, 167.209748
0.065, 167.226441
0.065, 167.243103
0.075, 167.259583
0.061, 167.276337
0.070, 167.293305
0.070, 167.309632
0.078, 167.326233
0.065, 167.343201
0.073, 167.359772
0.070, 167.376282
0.065, 167.393219
0.087, 167.409699
0.061, 167.426300
0.078, 167.443421
0.070, 167.459839
0.065, 167.476441
0.078, 167.493256
0.068, 167.509827
0.070, 167.526215
0.061, 167.543000
0.068, 167.559662
0.073, 167.576386
0.070, 167.593079
0.056, 167.609803
0.068, 167.626557
0.073, 167.643219
0.073, 167.659668
0.068, 167.676667
0.083, 167.693177
0.065, 167.709717
0.073, 167.726197
0.075, 167.742859
0.065, 167.759674
