Original Header:


CSV Header:

The voltages are now in volts.
The time is in seconds, subtracting off the startTime.
0.083, 0.748596
0.051, 0.751679
0.073, 0.755768
0.068, 0.757507
0.063, 0.759094
0.065, 0.760651
0.068, 0.762177
0.061, 0.763703
0.061, 0.765442
0.061, 0.766998
0.058, 0.768524
0.061, 0.770081
0.073, 0.773956
0.073, 0.776550
0.087, 0.778931
0.075, 0.781922
0.083, 0.784332
0.075, 0.786926
0.080, 0.790009
0.051, 0.793854
0.061, 0.795807
0.058, 0.797424
0.070, 0.798981
0.065, 0.800537
0.073, 0.802033
0.063, 0.803558
0.073, 0.805329
0.065, 0.806915
0.070, 0.808411
0.061, 0.809937
0.063, 0.813568
0.053, 0.816406
0.078, 0.818665
0.053, 0.821716
0.056, 0.824097
0.075, 0.826691
0.063, 0.829804
0.070, 0.832489
0.070, 0.835571
0.065, 0.837219
0.063, 0.838806
0.061, 0.840363
0.068, 0.841889
0.068, 0.843414
0.070, 0.845154
0.061, 0.846741
0.063, 0.848267
0.068, 0.849793
0.065, 0.851318
0.083, 0.855103
0.043, 0.857483
0.068, 0.859802
0.056, 0.862732
0.080, 0.865326
0.036, 0.868988
0.075, 0.873200
0.073, 0.876251
0.061, 0.877930
0.068, 0.879486
0.068, 0.881043
0.058, 0.882568
0.065, 0.884094
0.068, 0.885925
0.068, 0.887482
0.063, 0.889038
0.070, 0.891693
0.075, 0.894989
0.080, 0.897370
0.046, 0.899628
0.053, 0.902588
0.051, 0.905121
0.080, 0.907471
0.073, 0.911041
0.073, 0.914429
0.061, 0.916351
0.063, 0.917969
0.068, 0.919525
0.063, 0.921082
0.068, 0.922577
0.063, 0.924103
0.065, 0.925873
0.073, 0.927429
0.061, 0.928955
0.058, 0.930512
0.068, 0.933991
0.063, 0.936585
0.075, 0.938873
0.061, 0.941773
0.051, 0.944153
0.065, 0.946777
0.056, 0.949738
0.073, 0.952698
0.080, 0.955811
0.068, 0.957459
0.070, 0.959015
0.063, 0.960693
0.061, 0.962280
0.068, 0.963837
0.068, 0.965668
0.068, 0.967224
0.065, 0.968750
0.068, 0.970276
0.070, 0.974182
0.051, 0.976776
0.051, 0.979157
0.075, 0.982086
0.051, 0.984436
0.051, 0.987122
0.058, 0.990235
0.046, 0.994995
0.068, 0.997528
0.065, 0.999146
0.063, 1.000733
0.073, 1.002289
0.073, 1.003784
0.068, 1.005554
0.070, 1.007111
0.070, 1.008667
0.070, 1.010193
0.070, 1.013703
0.073, 1.016541
0.070, 1.018891
0.065, 1.021851
0.063, 1.024140
0.078, 1.026734
0.063, 1.029724
0.070, 1.032593
0.083, 1.035675
0.063, 1.037354
0.068, 1.038910
0.068, 1.040466
0.068, 1.041992
0.070, 1.043518
0.070, 1.045258
0.061, 1.046845
0.063, 1.048370
0.061, 1.049896
0.063, 1.051422
0.065, 1.055176
0.051, 1.057556
0.061, 1.059876
0.065, 1.062805
0.083, 1.065399
0.080, 1.067780
0.058, 1.070831
0.078, 1.074890
0.073, 1.076630
0.065, 1.078247
0.063, 1.079804
0.065, 1.081360
0.058, 1.082886
0.061, 1.084412
0.061, 1.086182
0.061, 1.087799
0.070, 1.089356
0.073, 1.092102
0.046, 1.095795
0.043, 1.097687
0.051, 1.099976
0.075, 1.102936
0.080, 1.105621
0.053, 1.107941
0.083, 1.111847
0.070, 1.115051
0.070, 1.118622
0.068, 1.120300
0.068, 1.121857
0.073, 1.123413
0.061, 1.125183
0.058, 1.126770
0.061, 1.128327
0.065, 1.129852
0.061, 1.132050
0.039, 1.135162
0.058, 1.137573
0.070, 1.139893
0.083, 1.142822
0.053, 1.145416
0.075, 1.147736
0.065, 1.151306
0.080, 1.154938
0.070, 1.156647
0.068, 1.158234
0.063, 1.159790
0.065, 1.161316
0.058, 1.162842
0.058, 1.164368
0.061, 1.166138
0.058, 1.167694
0.073, 1.169220
0.065, 1.170715
0.065, 1.174194
0.078, 1.176758
0.078, 1.179047
0.085, 1.181976
0.056, 1.184357
0.075, 1.186951
0.078, 1.190552
0.078, 1.193970
0.061, 1.195892
0.068, 1.197510
0.070, 1.199066
0.070, 1.200623
0.065, 1.202118
0.063, 1.203644
0.073, 1.205383
0.070, 1.206940
0.063, 1.208496
0.068, 1.210022
0.065, 1.213562
0.078, 1.216339
0.070, 1.218781
0.056, 1.221588
0.058, 1.224060
0.051, 1.226685
0.061, 1.229736
0.070, 1.233582
0.063, 1.235565
0.068, 1.237183
0.063, 1.238739
