Original Header:

Sensor Name: MCP9808_N2
Cow ID: 129
I2CAddress: 0x19
Sampling frequency: 1 Hz
Data Format: 
	T_0, t0
	T_1, t1
	...
	...
	...
	T_n, tn
	Where T is the temperature in single precision float format (32-bit). t is the time that the data point was taken in seconds, from the epoch. It is a double precision float. (64-bit) Each data point consists of a temperature and a timestamp, sequentially written to file. !@#

CSV Header:

The time is in seconds, subtracting off the startTime.
!@#
23.875, 258.178772
23.938, 258.998016
23.938, 259.998901
23.875, 260.998016
23.875, 261.999054
23.875, 263.139496
23.875, 264.007629
23.875, 265.007599
23.812, 266.012909
23.875, 267.007660
23.812, 268.112854
23.812, 269.014129
23.812, 270.014831
23.812, 271.016876
23.812, 272.014679
23.812, 273.247009
23.812, 273.994293
23.812, 274.993957
23.750, 275.994110
23.812, 276.993988
23.812, 277.994018
23.812, 278.998993
23.750, 279.998596
23.750, 281.000763
23.812, 281.998779
23.750, 282.997955
23.750, 284.018310
23.750, 285.017151
23.750, 286.017212
23.750, 287.017059
23.750, 288.032531
23.750, 288.993988
23.750, 289.994384
23.750, 290.994323
23.750, 291.993988
23.750, 292.993957
23.750, 294.004486
23.750, 295.004211
23.750, 296.004608
23.750, 297.004638
23.750, 298.002807
23.750, 299.005249
23.750, 300.004303
23.750, 301.004425
23.750, 302.004425
23.750, 303.004211
23.750, 304.002594
23.750, 305.005310
23.750, 306.004333
23.750, 307.002716
23.688, 308.002990
23.688, 309.005310
23.750, 310.002624
23.688, 311.004913
23.688, 312.004730
23.688, 313.005310
23.750, 314.005371
23.750, 315.005310
23.688, 316.004852
23.688, 317.004822
23.688, 318.004272
23.688, 319.005188
23.688, 320.005127
23.750, 321.005310
23.688, 322.005249
23.688, 323.005310
23.750, 323.994293
23.688, 324.993957
23.688, 325.994079
23.688, 326.994140
23.688, 327.993988
23.688, 329.013031
23.688, 330.013061
23.750, 331.013214
23.750, 332.013244
23.750, 333.013061
23.750, 334.014312
23.688, 335.014648
23.750, 336.014801
23.750, 337.015411
23.750, 338.014831
23.688, 338.998230
23.688, 339.999054
23.688, 340.997619
23.750, 341.998993
23.750, 342.998718
23.750, 344.002716
23.688, 345.002624
23.750, 346.002685
23.688, 347.002685
23.688, 348.002685
23.750, 349.005249
23.750, 350.005066
23.688, 351.005371
23.688, 352.005096
23.750, 353.005249
23.688, 354.013031
23.750, 355.012512
23.688, 356.013397
23.688, 357.012695
23.688, 358.012573
23.688, 359.005218
23.688, 360.005401
23.688, 361.005035
23.688, 362.005096
23.625, 363.005127
23.688, 363.994079
23.688, 364.994110
23.625, 365.993988
23.625, 366.994262
23.625, 367.994201
23.625, 369.005218
23.688, 370.005798
23.688, 371.005554
23.688, 372.005096
23.688, 373.005096
23.688, 373.993957
23.625, 374.994018
23.688, 375.994018
23.625, 376.994018
23.688, 377.994293
23.688, 379.007324
23.688, 380.007721
23.625, 381.007568
23.688, 382.007568
23.688, 383.007507
23.688, 383.993988
23.688, 384.994049
23.688, 385.993957
23.688, 386.993499
23.688, 387.994171
23.625, 389.002655
23.688, 390.002655
23.688, 391.002746
23.688, 392.002960
23.688, 393.002899
23.625, 394.012695
23.688, 395.012512
23.688, 396.012542
23.688, 397.013397
23.688, 398.012146
23.688, 399.014801
23.688, 400.014740
23.688, 401.014496
23.688, 402.014587
23.750, 403.014923
23.688, 404.019439
23.688, 405.019836
23.750, 406.019470
23.688, 407.019500
23.750, 408.019653
23.688, 409.019104
23.750, 410.018890
23.750, 411.019012
23.750, 412.019470
23.688, 413.019836
23.750, 414.017914
23.688, 415.018249
23.750, 416.017273
23.750, 417.017090
23.688, 418.017822
23.750, 418.994110
23.750, 419.994110
23.750, 420.994293
23.750, 421.994140
23.750, 422.994110
23.750, 423.994018
23.688, 424.993988
23.688, 425.993988
23.688, 426.993927
23.688, 427.993988
23.688, 429.005157
23.750, 430.005218
23.625, 431.005462
23.688, 432.005127
23.688, 433.006622
23.750, 434.017029
23.688, 435.016998
23.688, 436.017029
23.688, 437.017242
23.688, 438.017212
23.688, 439.016937
23.688, 440.017120
23.688, 441.016815
23.688, 442.017303
23.688, 443.016937
23.688, 444.016906
23.688, 445.017914
23.688, 446.017059
23.688, 447.017181
23.688, 448.018310
23.688, 449.018341
23.688, 450.017059
23.688, 451.017914
23.688, 452.016876
23.688, 453.016723
23.688, 454.017059
23.625, 455.017242
23.688, 456.017059
23.688, 457.016205
23.688, 458.017212
23.688, 459.016968
23.562, 460.017151
23.625, 461.016906
23.625, 462.017120
23.562, 463.017029
23.562, 464.017059
23.562, 465.017853
23.562, 466.017151
23.562, 467.017120
23.500, 468.017029
23.500, 469.017151
23.438, 470.017608
23.438, 471.016998
23.500, 472.016998
23.500, 473.017059
23.438, 474.016754
23.438, 475.016998
23.500, 476.017822
23.438, 477.016632
23.438, 478.017212
23.438, 479.016968
23.438, 480.017791
23.438, 481.017273
23.438, 482.016998
23.438, 483.017944
23.438, 483.993957
23.438, 484.994262
23.500, 485.994140
23.438, 486.993988
23.438, 487.994140
23.500, 489.010223
23.438, 490.007446
23.438, 491.007751
23.375, 492.007721
23.375, 493.007782
23.375, 493.993988
23.375, 494.994140
23.375, 495.993438
23.375, 496.994201
23.312, 497.993988
23.375, 499.018280
23.312, 500.017059
23.312, 501.017791
23.375, 502.017822
23.312, 503.017273
23.312, 504.017212
23.312, 505.017914
23.375, 506.017273
23.312, 507.017975
23.312, 508.017975
23.312, 509.017212
23.375, 510.018371
23.312, 511.017822
23.312, 512.017212
23.250, 513.017822
23.250, 513.994079
23.312, 514.994079
23.312, 515.994018
23.250, 516.993499
23.250, 517.993957
23.250, 518.994110
23.188, 519.994018
23.250, 520.993499
23.250, 521.993988
23.188, 522.994049
23.188, 523.998382
23.188, 524.998993
23.250, 525.998687
23.188, 527.000824
23.188, 527.998871
23.250, 528.998901
23.188, 530.000122
23.188, 530.999634
23.188, 532.000549
23.188, 532.998871
23.188, 534.000610
23.188, 535.000610
23.188, 535.998932
23.188, 537.000091
23.188, 537.998901
23.188, 539.013000
23.188, 540.014374
23.188, 541.012909
23.188, 542.014801
23.125, 543.013000
23.125, 543.993988
23.188, 544.994171
23.188, 545.994018
23.188, 546.994140
23.188, 547.993988
23.188, 548.996429
23.188, 549.995758
23.188, 550.996551
23.188, 551.996490
23.250, 552.996917
23.188, 554.023468
23.188, 555.022033
23.188, 556.023559
23.188, 557.024139
23.188, 558.023437
23.125, 558.997680
23.125, 559.996429
23.125, 560.999115
23.125, 561.996795
23.125, 562.997833
23.125, 563.997955
23.125, 564.996460
23.062, 565.997375
23.062, 566.997986
23.062, 567.998291
23.062, 569.001526
23.062, 570.001617
23.062, 571.001892
23.125, 572.001526
23.000, 573.001404
23.062, 574.007690
23.062, 575.007721
23.062, 576.007415
23.000, 577.007751
23.062, 578.007812
23.062, 578.997741
23.062, 579.998932
23.125, 581.000091
23.062, 581.998962
23.062, 582.999969
23.000, 584.001526
23.000, 585.001526
