volt, time
0.073, 1468261868.096343
0.065, 1468261868.099273
0.070, 1468261868.100982
0.065, 1468261868.102600
0.070, 1468261868.104125
0.065, 1468261868.108154
0.051, 1468261868.112304
0.073, 1468261868.114685
0.056, 1468261868.118530
0.075, 1468261868.120910
0.061, 1468261868.123840
0.068, 1468261868.126922
0.075, 1468261868.130737
0.070, 1468261868.132507
0.068, 1468261868.134094
0.068, 1468261868.135894
0.065, 1468261868.137451
0.061, 1468261868.138977
0.065, 1468261868.140502
0.068, 1468261868.142028
0.063, 1468261868.143554
0.068, 1468261868.145446
0.063, 1468261868.148956
0.070, 1468261868.151306
0.075, 1468261868.153717
0.061, 1468261868.156951
0.061, 1468261868.159332
0.056, 1468261868.161743
0.051, 1468261868.164581
0.083, 1468261868.167755
0.075, 1468261868.170684
0.068, 1468261868.172302
0.065, 1468261868.173858
0.065, 1468261868.175628
0.065, 1468261868.177215
0.068, 1468261868.178710
0.068, 1468261868.180236
0.068, 1468261868.181793
0.065, 1468261868.183288
0.070, 1468261868.185028
0.065, 1468261868.188873
0.068, 1468261868.191223
0.058, 1468261868.193572
0.083, 1468261868.196716
0.061, 1468261868.199127
0.046, 1468261868.201446
0.068, 1468261868.204467
0.068, 1468261868.207397
0.075, 1468261868.210266
0.061, 1468261868.211914
0.068, 1468261868.213470
0.065, 1468261868.215270
0.068, 1468261868.216857
0.065, 1468261868.218414
0.065, 1468261868.219909
0.065, 1468261868.221466
0.065, 1468261868.222991
0.061, 1468261868.224487
0.068, 1468261868.226898
0.075, 1468261868.229827
0.085, 1468261868.232147
0.061, 1468261868.237579
0.080, 1468261868.239959
0.048, 1468261868.242340
0.068, 1468261868.246520
0.075, 1468261868.249511
0.065, 1468261868.251190
0.063, 1468261868.252746
0.061, 1468261868.254272
0.068, 1468261868.256042
0.058, 1468261868.257629
0.061, 1468261868.259155
0.068, 1468261868.260681
0.061, 1468261868.262207
0.068, 1468261868.263793
0.065, 1468261868.265502
0.073, 1468261868.268981
0.075, 1468261868.271362
0.056, 1468261868.273681
0.078, 1468261868.276885
0.056, 1468261868.279266
0.080, 1468261868.281585
0.070, 1468261868.284637
0.078, 1468261868.287963
0.070, 1468261868.290435
0.063, 1468261868.292083
0.068, 1468261868.293640
0.061, 1468261868.295410
0.063, 1468261868.296997
0.065, 1468261868.298522
0.063, 1468261868.300048
0.058, 1468261868.301574
0.063, 1468261868.303100
0.068, 1468261868.304626
0.063, 1468261868.308135
0.048, 1468261868.310089
0.046, 1468261868.312347
0.073, 1468261868.314666
0.075, 1468261868.317901
0.075, 1468261868.320190
0.083, 1468261868.322448
0.080, 1468261868.326599
0.075, 1468261868.329620
0.070, 1468261868.331298
0.070, 1468261868.332885
0.068, 1468261868.334411
0.070, 1468261868.336181
0.063, 1468261868.337738
0.065, 1468261868.339263
0.063, 1468261868.340789
0.068, 1468261868.342315
0.058, 1468261868.343811
0.070, 1468261868.346618
0.075, 1468261868.349517
0.078, 1468261868.351837
0.056, 1468261868.354156
0.051, 1468261868.357299
0.080, 1468261868.361694
0.056, 1468261868.365142
0.080, 1468261868.368286
0.070, 1468261868.371093
0.063, 1468261868.372741
0.065, 1468261868.374298
0.063, 1468261868.376098
0.063, 1468261868.377685
0.061, 1468261868.379211
0.061, 1468261868.380737
0.070, 1468261868.382263
0.063, 1468261868.383789
0.070, 1468261868.386291
0.043, 1468261868.389343
0.073, 1468261868.391662
0.078, 1468261868.393920
0.065, 1468261868.397094
0.078, 1468261868.399444
0.085, 1468261868.401763
0.065, 1468261868.405334
0.085, 1468261868.408966
0.070, 1468261868.410675
0.068, 1468261868.412292
0.070, 1468261868.413818
0.063, 1468261868.415588
0.070, 1468261868.417175
0.061, 1468261868.418701
0.065, 1468261868.420227
0.063, 1468261868.421752
0.063, 1468261868.423248
0.063, 1468261868.424774
0.058, 1468261868.428344
0.083, 1468261868.430786
0.053, 1468261868.432525
0.051, 1468261868.435119
0.053, 1468261868.438079
0.085, 1468261868.440429
0.068, 1468261868.442718
0.048, 1468261868.446502
0.070, 1468261868.449920
0.068, 1468261868.451629
0.065, 1468261868.453216
0.073, 1468261868.454772
0.068, 1468261868.456604
0.068, 1468261868.458129
0.061, 1468261868.459655
0.065, 1468261868.461181
0.063, 1468261868.462738
0.063, 1468261868.464233
0.070, 1468261868.466796
0.056, 1468261868.469696
0.078, 1468261868.472076
0.073, 1468261868.474334
0.085, 1468261868.477478
0.056, 1468261868.480224
0.090, 1468261868.482604
0.075, 1468261868.488098
0.080, 1468261868.491210
0.068, 1468261868.492889
0.065, 1468261868.494445
0.068, 1468261868.496246
0.063, 1468261868.497802
0.061, 1468261868.499359
0.068, 1468261868.500885
0.058, 1468261868.502410
0.070, 1468261868.503936
0.061, 1468261868.506591
0.041, 1468261868.509490
0.075, 1468261868.511840
0.056, 1468261868.514160
0.092, 1468261868.517364
0.090, 1468261868.519744
0.075, 1468261868.522033
0.080, 1468261868.525787
0.068, 1468261868.529174
0.065, 1468261868.530853
0.070, 1468261868.532470
0.070, 1468261868.534027
0.070, 1468261868.535797
0.073, 1468261868.537353
0.065, 1468261868.538879
0.065, 1468261868.540405
